lengthen	使加長,使延長	透鏡;鏡片	說謊的人	自由主義的
lens	透鏡;鏡片	說謊的人	自由主義的	自由
liar	說謊的人	自由主義的	自由	圖書館員
liberal	自由主義的	自由	圖書館員	救生艇
liberty	自由	圖書館員	救生艇	救生員
librarian	圖書館員	救生艇	救生員	一生
lifeboat	救生艇	救生員	一生	燈塔
lifeguard	救生員	一生	燈塔	肢;臂
lifetime	一生	燈塔	肢;臂	亞麻布製品(如床單,桌巾,內衣等)
lighthouse	燈塔	肢;臂	亞麻布製品(如床單,桌巾,內衣等)	口紅
limb	肢;臂	亞麻布製品(如床單,桌巾,內衣等)	口紅	亂丟(雜物)
linen	亞麻布製品(如床單,桌巾,內衣等)	口紅	亂丟(雜物)	精力充沛的;活潑的
lipstick	口紅	亂丟(雜物)	精力充沛的;活潑的	肝臟
litter	亂丟(雜物)	精力充沛的;活潑的	肝臟	裝,裝載
lively	精力充沛的;活潑的	肝臟	裝,裝載	大廳;門廊
liver	肝臟	裝,裝載	大廳;門廊	龍蝦
load	裝,裝載	大廳;門廊	龍蝦	棒棒糖
lobby	大廳;門廊	龍蝦	棒棒糖	鬆的
lobster	龍蝦	棒棒糖	鬆的	鬆開,解開
lollipop	棒棒糖	鬆的	鬆開,解開	(大寫)上帝,基督
loose	鬆的	鬆開,解開	(大寫)上帝,基督	揚聲器,擴聲器,喇叭
loosen	鬆開,解開	(大寫)上帝,基督	揚聲器,擴聲器,喇叭	行李
lord	(大寫)上帝,基督	揚聲器,擴聲器,喇叭	行李	唱搖籃曲使入睡
loudspeaker	揚聲器,擴聲器,喇叭	行李	唱搖籃曲使入睡	肺
luggage	行李	唱搖籃曲使入睡	肺	魔術的,魔法的
lullaby	唱搖籃曲使入睡	肺	魔術的,魔法的	磁鐵,磁石
lung	肺	魔術的,魔法的	磁鐵,磁石	侍女;女僕
magical	魔術的,魔法的	磁鐵,磁石	侍女;女僕	少校
magnet	磁鐵,磁石	侍女;女僕	少校	過半數,大多數
maid	侍女;女僕	少校	過半數,大多數	大規模購物中心
major	少校	過半數,大多數	大規模購物中心	管理;經營;處理
majority	過半數,大多數	大規模購物中心	管理;經營;處理	可控制的
mall	大規模購物中心	管理;經營;處理	可控制的	經理
manage	管理;經營;處理	可控制的	經理	人類
manageable	可控制的	經理	人類	禮貌;規矩;風俗,習慣
manager	經理	人類	禮貌;規矩;風俗,習慣	大理石
mankind/humankind	人類	禮貌;規矩;風俗,習慣	大理石	行軍;把(人)強行帶走
manners	禮貌;規矩;風俗,習慣	大理石	行軍;把(人)強行帶走	了不起的
marble	大理石	行軍;把(人)強行帶走	了不起的	數學的
march	行軍;把(人)強行帶走	了不起的	數學的	數學
