1,介紹,https://www.youtube.com/watch?v=lNGsKlBo9d4,
2,仁川機場（到達）,https://www.youtube.com/watch?v=ALKm9EQEVaU,
3,~자마자,https://www.youtube.com/watch?v=vfz8WQF66dg,
4,喜歡,https://www.youtube.com/watch?v=ZTsFDNOrOas,
5,泡菜,https://www.youtube.com/watch?v=tL7K_wuR8EQ,
6,韓國電影,https://www.youtube.com/watch?v=xOJ_r_547ao,
7,美麗的分享,https://www.youtube.com/watch?v=WeNGrKo6z-Q,
8,韓國元旦,https://www.youtube.com/watch?v=qD6O2t__VK8,
9,我無法睜開眼睛,https://www.youtube.com/watch?v=c-Qyl3B0du8,
10,~거든요,https://www.youtube.com/watch?v=w9ClOwrij0k,
11,景福宮之旅,https://www.youtube.com/watch?v=4-wJxEDbZSY,
12,善待自己,https://www.youtube.com/watch?v=oXXiO0tJJQ8,
13,高速公路休息區,https://www.youtube.com/watch?v=lIwVtPMeQbQ,
14,獨立運動日,https://www.youtube.com/watch?v=hlSWvS6bQvg,
15,~네요,https://www.youtube.com/watch?v=o-QfAcTuEXs,
16,有默契,https://www.youtube.com/watch?v=VZF7b0oN32w,
17,防彈少年團音樂視頻,https://www.youtube.com/watch?v=jBB6cuSGY80,
18,生病,https://www.youtube.com/watch?v=y7f6XmO-Ixc,
19,~다 보니까,https://www.youtube.com/watch?v=f2kQStnNDOo,
20,年齡計算,https://www.youtube.com/watch?v=VqmjpVTLmu0,
21,裝蒜,https://www.youtube.com/watch?v=zHV88eE6HxM,
22,睡眠庇護所,https://www.youtube.com/watch?v=LtToLHjSBGg,
23,最好的禮物,https://www.youtube.com/watch?v=82BQItMf2L4,
24,~편이다,https://www.youtube.com/watch?v=Jp5ilWE-Zao,
25,韓國婚姻文化,https://www.youtube.com/watch?v=opGhupDfM4Q,
26,玩什麼好呢,https://www.youtube.com/watch?v=W8QHfsf20_E,
27,疫苗當天,https://www.youtube.com/watch?v=cMomEiZJzL0,
28,~줄 알다,https://www.youtube.com/watch?v=ih0tQ_AESj4,
29,有趣的名字,https://www.youtube.com/watch?v=Wb_QQWgNPTM,
30,冷靜,https://www.youtube.com/watch?v=dFpXIeIyAxA,
31,喜愛桃子,https://www.youtube.com/watch?v=hB84kD3K1mg,
32,~뻔하다,https://www.youtube.com/watch?v=DZCnaVb7C4c,
33,傳統市場,https://www.youtube.com/watch?v=dVlE9h-oxEI,
34,人脈廣,https://www.youtube.com/watch?v=wqHmRlKRejU,
35,幹租,https://www.youtube.com/watch?v=nyEiG4hkhIw
36,~만하다,https://www.youtube.com/watch?v=oMIQ6vT67os,
37,雨季,https://www.youtube.com/watch?v=oHO-neaw_vI,
38,模範生,https://www.youtube.com/watch?v=kolHOC8B7PY,
39,網上購物,https://www.youtube.com/watch?v=TJABaaXBk-o,
40,~척하다,https://www.youtube.com/watch?v=gERaS8gaEyA,
41,夢想和空白,https://www.youtube.com/watch?v=pb6PH-PUW1c,
42,新的開始,https://www.youtube.com/watch?v=ziZ-lsKP9jc,
43,韓屋和暖炕,https://www.youtube.com/watch?v=fU3HYt6u78s,
44,搭飛機,https://www.youtube.com/watch?v=bVdo6mLC9hM,
45,胖馬卡龍,https://www.youtube.com/watch?v=itwJbGjgBQc,
46,你吃了沒,https://www.youtube.com/watch?v=7U5rzPYtoDg,
47,三月在韓國,https://www.youtube.com/watch?v=odc3x5h4m1I,
48,~면 좋겠다,https://www.youtube.com/watch?v=lfNyvvCtztU,
49,送貨國,https://www.youtube.com/watch?v=Ml6IkObxcLo,
50,換季,https://www.youtube.com/watch?v=AgYD6jwW360,
51,韓國護膚產品,https://www.youtube.com/watch?v=KOyIvlNqxPY,
52,直線跑,https://www.youtube.com/watch?v=G0uzyuYqViU,
53,石飯,https://www.youtube.com/watch?v=EFefBvY-pDA,
54,節日,https://www.youtube.com/watch?v=hHDzdDJWVk0,
55,韓國交通,https://www.youtube.com/watch?v=YJj1jYI_ExU,
56,容易上當,https://www.youtube.com/watch?v=uJYuqLv2re8,
57,梯車,https://www.youtube.com/watch?v=rVnoiNf8EcI,
58,職場稱呼,https://www.youtube.com/watch?v=_aikkqoZ28I,
59,喜愛與眾不同,https://www.youtube.com/watch?v=uIAY3gk6lp8,
60,~것 같다,https://www.youtube.com/watch?v=lKMzqzOijhM,
61,婆婆的經歷,https://www.youtube.com/watch?v=E5JAAnwehcA,
62,路上的朋友,https://www.youtube.com/watch?v=JcpvzSdSJ7M,
63,蘿蔔泡菜,https://www.youtube.com/watch?v=UApdzFz6Umk,
64,放開你的手,https://www.youtube.com/watch?v=jzcWXAFK2Iw,
65,兒童咖啡館,https://www.youtube.com/watch?v=uXmv0Ko-Uzk,
66,祝賀,https://www.youtube.com/watch?v=ue7tDpmEm3M,
67,熱門應用,https://www.youtube.com/watch?v=amhgigNn8_g,
68,~느라고,https://www.youtube.com/watch?v=gbwQo_VAQk8,
69,大麥茶,https://www.youtube.com/watch?v=6v9x7Rg4MA0,
70,天空、風、星星,https://www.youtube.com/watch?v=Koy3aGbAtNA,
71,房屋,https://www.youtube.com/watch?v=nzbUaOudKvY,
72,~다면서요,https://www.youtube.com/watch?v=wYZ5uCqIea0,
