小さな (ちいさな)	small	back	pet 	radio-cassette player
背 (せ)	back	pet 	radio-cassette player	plate
ペット	pet 	radio-cassette player	plate	alcohol
ラジカセ	radio-cassette player	plate	alcohol	lunch
お皿 (おさら)	plate	alcohol	lunch	bath
お酒 (おさけ)	alcohol	lunch	bath	uncle 
昼ご飯 (ひるごはん)	lunch	bath	uncle 	aunt
お風呂 (おふろ)	bath	uncle 	aunt	child
おじさん (伯父さん)	uncle 	aunt	child	seven 
おばさん (伯母さん)	aunt	child	seven 	foot 
子供 (こども)	child	seven 	foot 	to say
七 (しち)	seven 	foot 	to say	meaning
足 (あし)	foot 	to say	meaning	one 
言う (いう)	to say	meaning	one 	number one
意味 (いみ)	meaning	one 	number one	right
一つ (ひとつ)	one 	number one	right	movie
一番 (いちばん)	number one	right	movie	music
右 (みぎ)	right	movie	music	summer
映画 (えいが)	movie	music	summer	family
音楽 (おんがく)	music	summer	family	home
