時間 (じかん)	time 	automobile	myself	question
自動車 (じどうしゃ)	automobile	myself	question	photograph
自分 (じぶん)	myself	question	photograph	car
質問 (しつもん)	question	photograph	car	hand
写真 (しゃしん)	photograph	car	hand	autumn
車 (くるま)	car	hand	autumn	spring
手 (て)	hand	autumn	spring	small quantity
秋 (あき)	autumn	spring	small quantity	to raise
春 (はる)	spring	small quantity	to raise	newspaper
少し (すこし)	small quantity	to raise	newspaper	water 
上げる (あげる)	to raise	newspaper	water 	voice 
新聞 (しんぶん)	newspaper	water 	voice 	1000
水 (みず)	water 	voice 	1000	university
声 (こえ)	voice 	1000	university	man
千 (せん)	1000	university	man	telephone call
大学 (だいがく)	university	man	telephone call	east
男 (おとこ)	man	telephone call	east	road
電話 (でんわ)	telephone call	east	road	south
東 (ひがし)	east	road	south	two
道 (みち)	road	south	two	100
