大切 (たいせつ)	important	very	to be aware of	electricity 
大変 (たいへん)	very	to be aware of	electricity 	animal
知る (しる)	to be aware of	electricity 	animal	two
電気 (でんき)	electricity 	animal	two	year 
動物 (どうぶつ)	animal	two	year 	half
二つ (ふたつ)	two	year 	half	illness
年 (とし)	year 	half	illness	room
半分 (はんぶん)	half	illness	room	truth
病気 (びょうき)	illness	room	truth	name
部屋 (へや)	room	truth	name	evening
本当 (ほんとう)	truth	name	evening	travel
名前 (なまえ)	name	evening	travel	cooking
夜 (よる)	evening	travel	cooking	practice
旅行 (りょこう)	travel	cooking	practice	year before last
料理 (りょうり)	cooking	practice	year before last	what 
練習 (れんしゅう)	practice	year before last	what 	fish
一昨年 (いっさくねん)	year before last	what 	fish	today
何 (なに)	what 	fish	today	town
魚 (さかな)	fish	today	town	horizontal 
今日 (こんにち)	today	town	horizontal 	picture
