夏 (なつ)	summer	family	home	song 
家族 (かぞく)	family	home	song 	flower
家庭 (かてい)	home	song 	flower	company
歌 (うた)	song 	flower	company	foreign country
花 (はな)	flower	company	foreign country	foreigner
会社 (かいしゃ)	company	foreign country	foreigner	school
外国 (がいこく)	foreign country	foreigner	school	student 
外国人 (がいこくじん)	foreigner	school	student 	bank
学校 (がっこう)	school	student 	bank	language
学生 (がくせい)	student 	bank	language	five
銀行 (ぎんこう)	bank	language	five	afternoon
言葉 (ことば)	language	five	afternoon	morning
五 (ご)	five	afternoon	morning	behind
午後 (ごご)	afternoon	morning	behind	this month
午前 (ごぜん)	morning	behind	this month	left
後 (あと)	behind	this month	left	work
今月 (こんげつ)	this month	left	work	I
左 (ひだり)	left	work	I	time 
仕事 (しごと)	work	I	time 	automobile
私 (わたし)	I	time 	automobile	myself
