一緒 (いっしょ)	together 	rain	English 	sea
雨 (あめ)	rain	English 	sea	outside
英語 (えいご)	English 	sea	outside	marriage
海 (うみ)	sea	outside	marriage	to call out 
外 (そと)	outside	marriage	to call out 	public park
結婚 (けっこん)	marriage	to call out 	public park	mouth 
呼ぶ (よぶ)	to call out 	public park	mouth 	journal
公園 (こうえん)	public park	mouth 	journal	mountain
口 (くち)	mouth 	journal	mountain	to use 
雑誌 (ざっし)	journal	mountain	to use 	female
山 (やま)	mountain	to use 	female	colour
使う (つかう)	to use 	female	colour	pupil
女 (おんな)	female	colour	pupil	west
色 (いろ)	colour	pupil	west	last month
生徒 (せいと)	pupil	west	last month	teacher
西 (にし)	west	last month	teacher	river
先月 (せんげつ)	last month	teacher	river	body 
先生 (せんせい)	teacher	river	body 	important
川 (かわ)	river	body 	important	very
体 (からだ)	body 	important	very	to be aware of
