目 (め)	eye	apartment building	elevator	cup 
アパート	apartment building	elevator	cup 	camera
エレベーター	elevator	cup 	camera	curry 
カップ	cup 	camera	curry 	calendar 
カメラ	camera	curry 	calendar 	kilo-
カレー (咖哩)	curry 	calendar 	kilo-	guitar
カレンダー	calendar 	kilo-	guitar	class
キロ	kilo-	guitar	class	gram
ギター	guitar	class	gram	coat 
クラス	class	gram	coat 	coffee
グラム (瓦)	gram	coat 	coffee	glass 
コート	coat 	coffee	glass 	copy
コーヒー (珈琲)	coffee	glass 	copy	shirt 
コップ	glass 	copy	shirt 	shower
コピー	copy	shirt 	shower	skirt
シャツ	shirt 	shower	skirt	room heater
シャワー	shower	skirt	room heater	spoon
スカート	skirt	room heater	spoon	sport
ストーブ	room heater	spoon	sport	slipper
スプーン	spoon	sport	slipper	trousers
