安い (やすい)	cheap	dark	easy	chair
暗い (くらい)	dark	easy	chair	to differ 
やさしい (易しい)	easy	chair	to differ 	one 
椅子 (いす)	chair	to differ 	one 	to swim
違う (ちがう)	to differ 	one 	to swim	far
一 (いち)	one 	to swim	far	dirty
泳ぐ (およぐ)	to swim	far	dirty	yellow 
遠い (とおい)	far	dirty	yellow 	unskillful
汚い (きたない)	dirty	yellow 	unskillful	when
黄色い (きいろい)	yellow 	unskillful	when	Tuesday
下手 (へた)	unskillful	when	Tuesday	flower vase
いつ (何時)	when	Tuesday	flower vase	to meet
火曜日 (かようび)	Tuesday	flower vase	to meet	ashtray
花瓶 (かびん)	flower vase	to meet	ashtray	to memorize
会う (あう)	to meet	ashtray	to memorize	enjoyable
灰皿 (はいざら)	ashtray	to memorize	enjoyable	to take 
覚える (おぼえる)	to memorize	enjoyable	to take 	cold 
楽しい (たのしい)	enjoyable	to take 	cold 	sweet-tasting
かかる (掛かる)	to take 	cold 	sweet-tasting	dangerous
寒い (さむい)	cold 	sweet-tasting	dangerous	how many
