친구와 [놀다]	玩
카메라 [사진]	相機「照片」
[산책]을 나가다	出去「散步」
[소풍]을 가다	去「野餐」
[영화]를 보다	看「電影」
[장난감]을 가지고 놀다	帶「玩具」玩
가수들이 [춤추다]	歌手們在「跳舞」
[취미] 생활	「休閒」生活
[가요]를 부르다	哼著「歌謠」
[노래]를 부르다	唱「歌」
[바이올린]을 켜다	拉「小提琴」
인기 [스타]	人氣「偶像」
[악기]를 연주하다	演奏「樂器」
[음악]을 듣다	聽「音樂」
[춤]을 추다	跳「舞」
[공휴일]로 정하다	定為「公休日」
[명절]을 맞다	迎接「節日」
[설날]:명절	新年
[세배]를 드리다	拜年
[추석]:명절	中秋節
[경치]가 좋다	「景緻」不錯（風景）
국내 [관광]	國內「觀光」
외국인 [관광객]	外國「觀光客」
국내 [관광지]	國內「觀光地」
[구경]	遊玩
극장 [매표소]	電影院「售票處」
[여행]을 가다	旅行
[출입국] 사무소	「出入境」管理局
[터미널]에서 내리다	在「航廈」下
[풍경]을 보다	看「風景」
[하숙비]를 내다	付「住宿費」
[한옥]에 살다	住「韓屋」
[항공] 운항	「航空」運輸
[항공권]을 예약하다	預訂「機票」
[해외]에 수출하다	「海外」翰出
[휴가]를 가다	假期
[휴게실]에서 쉬다	在「休息室」休息
신문 [광고]	新聞「廣告」
[연극]을 보다	看「話劇」
그림을 [그리다]	畫「畫」
[그림]을 그리다	繪「畫」
[디자인]이 예쁘다	「設計」很漂亮
[만화]를 그리다	畫「漫畫」
국립 [미술관]	國立「美術館」
[소설]:고전 소설	古典「小說」
[예술] 작품	「藝術」品
[경기]를 보다	看「比賽」
[규칙]을 어기다	違反「規則」
[농구] 경기	「籃球」比賽
[달리기]가 빠르다	「跑」得快
[등산]을 가다	登山
[배드민턴]을 치다	打「羽毛球」
[수영]을 배우다	學「游泳」
[수영장]에 다니다	去「游泳池」
[스키]를 신다	穿「滑雪板」
[스키장]에서 놀다	在「滑雪場」玩
[스포츠]:스포츠 경기	「運動」比賽
[야구]:축구	棒球
[올림픽] 경기	「奧林匹克」競賽
[운동] 시설	「運動」設施
실내 [체육관]	市內「體育館」
[축구]:운동	足球
[축구공]을 차다	踢「足球」
[탁구]를 치다	打「桌球」
[태권도]를 배우다	學「跆拳道」
[테니스]를 치다	打「網球」
[테니스장]에서 연습핟	在「網球場」練習
[헬스클럽]에서 운동하다	在「健身房」運動
[날짜]를 정하다	決定「日期」
[대회]가 열리다	舉辦「運動會」
경기에서 [이기다]	「贏得」比賽
[자리]에 앉다	坐在「座位」
예약 [취소]	「取消」預約
[팀]을 이루다	組「隊」
컴퓨터 [게임]	電腦「遊戲」
[기타]를 치다	彈「吉他」
