korean,learn,99,sejong1,世宗韓國會話1,conversation_youtube,all.csv
korean,learn,99,sejong2,世宗韓國會話2,conversation_youtube,all.csv
korean,learn,99,sejong3,世宗韓國會話3,conversation_youtube,all.csv
korean,learn,99,sejong4,世宗韓國會話4,conversation_youtube,all.csv
korean,learn,5,CatIce,CatIce,conversation_youtube,all.csv
korean,learn,5,fullcourse,full\course,conversation_youtube,all.csv
korean,learn,5,unnie,unnie,conversation_youtube,all.csv
korean,learn,5,choisusu2,choisusu\中級,conversation_youtube,all.csv
korean,learn,5,pit^a^pat,撲通撲通韓國語,conversation_youtube,all.csv
korean,learn,5,inter^korean,中級韓國語,conversation_youtube,all.csv
korean,learn,5,yomitabi,yomitabi\日本遊,conversation_youtube,all.csv
korean,learn,5,drama,看戲劇學韓語,conversation_youtube,all.csv
