5659	等級	字行	詞性	韓文	中文	韓文片語	中文解釋	字源	拼寫	2	大	中	小	小小	順序	大中分類	大中小分類	日文	選項2	選項3	選項4
文法	初級			- 때	- 時				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
文法	初級			- 아/어서	然後 -				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
文法	初級			- 후에	在 - 之後				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
文法	初級			-같이	像～	코미디언[같이] 재미있어요	和喜劇演員「一樣」有趣		V	#N/A	文法	歸類與對比	歸類	如同～一樣		文法_歸類與對比	文法_歸類與對比_歸類				
文法	初級			-거나	或者				V	#N/A	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
	中級	-		-거든	如果	이 옷이 마음에 안 들[거든] 다른 가게에 가 봅시다	如果不滿意，再去別家		V	#N/A	文法	假設與背景				文法_假設與背景	文法_假設與背景_				
	中級	-		-거든요	因為	여기가 정말 맛있[거든요]	因為這家真的好吃		V	#N/A	文法	推測與理由	理由			文法_推測與理由	文法_推測與理由_理由				
	中級	-		-게	讓	잘 들을 수 있[게] 마이크를 사용할게요	後同學盡量聽得到		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-게 되다	被	교통시고가 나서 입원하[게 되었어요]	因為車禍，被送進醫院		V	#N/A	文法	狀態與轉折	詞性改變	被動		文法_狀態與轉折	文法_狀態與轉折_詞性改變				
	中級	-		-게 하다	使	한 시간이나 기다리[게 하변] 어떻게 해요	讓人等一小時怎麼行		V	#N/A	文法	狀態與轉折	詞性改變	使動		文法_使動	文法_使動_詞性改變				
文法	初級			-겠어요	看起來 -				V	#N/A	文法	推測與理由	#N/A			文法_推測與理由	#N/A				
文法	初級			-겠어요	我要-				V	12	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
文法	初級			-고	和，而且				V	#N/A	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
文法	初級			-고	然後				V	14	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
文法	初級			-고 나서	然後 -				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
	中級	-		-고 말다	完全	과자를 다 먹[고 말았네요]	就把餅乾全吃光了		V	#N/A	文法	數量與時間	數量			文法_數量與時間	文法_數量與時間_數量				
	中級	-		-고 보니	看了	만나[고 보니] 초등학교 동창이었어요	見了面才知道是小學同學		V	#N/A	文法	推測與理由	推測			文法_推測與理由	文法_推測與理由_推測				
文法	初級			-고 싶다	想要 -				V	#N/A	文法	希望與打算	希望			文法_希望與打算	文法_希望與打算_希望				
文法	初級			-고 있다	進行式				V	#N/A	文法	基本				文法_基本	文法_基本_				
	中級	-		-고 해서	因為	길도 복잡하[고 해서] 지하철을 타는 게 좋겠어요	因為道路也塞車，坐地鐵較好		V	#N/A	文法	推測與理由	理由			文法_推測與理由	文法_推測與理由_理由				
	中級	-		-고서	先	준비운동을 하[고서] 해야 돼요	先暖身再運動		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
	中級	-		-고자	想	부탁을 좀 드리[고자] 전화 드렸습니다	想拜託才打電話來		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
	中級	-		-곤 하다	經常	시간이 없을 때는 일하면서 김삽을 먹[곤 해요]	經常一邊工作一邊吃紫菜飯		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
新視4_1_01_1	高級	-		-과 잘 지내다	相處融洽						人	個性	宜人			人_個性	人_個性_宜人				
文法	初級			-기 때문에	因為 -				V	#N/A	文法	推測與理由	因為			文法_推測與理由	文法_推測與理由_因為				
	高級	-		-기 어려울 것 같습니다	好像很難					#N/A	文法	狀態與轉折	好像			文法_狀態與轉折	文法_狀態與轉折_好像				
文法	初級			-기 위해서	為了 -				V	#N/A	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
文法	初級			-기 전에	在 – 之前				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
	中級	-		-기는 -지만	是-，但-	읽[기는] 읽[었지만] 내용은 잘 모르겠어요	看是看了，但不明白		V	#N/A	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
	中級	-		-기는 하지만	是-，但-	아프[기는 하지만] 참을 수 있어요	痛是痛，但還可忍受		V	#N/A	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
	中級	-		-기는요	哪有	재미있[기는요]. 보다가 졸았어요	還有意思呢，看著就睡著了		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	高級	-		-기도 하다	也包含					#N/A	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
文法	初級			-기로 하다	打算 -				V	#N/A	文法	希望與打算	#N/A			文法_希望與打算	#N/A				
新視3_2_8	高級	-		-끼리	-們（複數）						樂	人際	禮節			樂_人際	樂_人際_禮節				
文法	初級			-ㄴ 것 같다	好像 -				V	#N/A	文法	推測與理由	#N/A			文法_推測與理由	#N/A				
	中級	-		-ㄴ 대신에	代替	스테이크 [대신에] 햄버거를 먹으면 어때요	不要牛排，吃漢堡如何		V	#N/A	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
	中級	-		-ㄴ 데다가	不只	날씨가 쌀쌀[한 데다가] 비까지 많이 오다	不只天氣涼，還下雨		V	#N/A	文法	數量與時間				文法_數量與時間	文法_數量與時間_				
	中級	-		-ㄴ 데로	依照	예상[대로] 우리 팀이 이겼어요	跟預料一樣贏了		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	中級	-		-ㄴ 만큼	程度	각자 먹[은 만큼] 내면 될 것 같아요	每人吃多少付多少		V	#N/A	文法	數量與時間	數量	程度		文法_數量與時間	文法_數量與時間_數量				
	中級	-		-ㄴ 모양이다	看來很-	아[픈 모양이에요.]	看來病得不輕		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-ㄴ 반면에	但	운동은 잘하[는 반면에] 공부는 못해요	運動雖好，但書念不來		V	#N/A	文法	狀態與轉折	相反			文法_狀態與轉折	文法_狀態與轉折_相反				
	中級	-		-ㄴ 셈이다	可算是	20년 이상 살았으나까 서울이 고향[인 셈이에요]	住了20年，首爾可以算故鄉了		V	#N/A	文法	推測與理由	結果			文法_推測與理由	文法_推測與理由_結果				
文法	初級			-ㄴ 적이 없다	不曾 -				V	#N/A	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
文法	初級			-ㄴ 적이 있다	曾經 -				V	#N/A	文法	經驗與建議	#N/A			文法_經驗與建議	#N/A				
	中級	-		-ㄴ 줄 몰랐다	不知道	결혼[한 줄 몰랐어요]	不知道她結婚了		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
	中級	-		-ㄴ 줄 알았다	以為-	결한 안 [한 줄 알았어요]	以為她還沒結婚		V	#N/A	文法	推測與理由				文法_推測與理由	文法_推測與理由_				
文法	初級			-ㄴ 지	從-至今				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
	中級	-		-ㄴ 채로	著	입[은 체로] 수영을 하다	穿著衣服游泳		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	中級	-		-ㄴ 척하다	裝	얘기하다가 왜 갑자기 자[는 척해요]	說著話，怎麼突然裝睡		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	中級	-		-ㄴ 탓에	導致	급[한 탓에] 실수가 잦은 것 같아요.	好像是因為個性急，導致常出錯		V	#N/A	文法	推測與理由	理由			文法_推測與理由	文法_推測與理由_理由				
	中級	-		-ㄴ 편이다	算是～	그는 통통[한 편이에요]	他算胖的		V	#N/A	文法	歸類與對比	歸類	如同～一樣		文法_歸類與對比	文法_歸類與對比_歸類				
文法	初級			-ㄴ 후에	在 - 之後				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
	中級	-		-ㄴ다면	如果	복권에 당첨[된다면] 차를 사다	如果中獎就買車		V	#N/A	文法	假設與背景				文法_假設與背景	文法_假設與背景_				
	中級			-ㄴ대 반해	相反地				V	#N/A	文法	狀態與轉折	相反			文法_狀態與轉折	文法_狀態與轉折_相反				
文法	初級			-ㄴ데	但是-				V	#N/A	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
文法	初級			-ㄴ데	所以-				V	56	文法	假設與背景	0			文法_假設與背景	文法_假設與背景_0				
	中級	-		-ㄴ데도	但	어제 푹 [잤는데도] 오늘 많이 피곤하네요	昨天睡得好，但今天還是累		V	#N/A	文法	歸類與對比				文法_歸類與對比	文法_歸類與對比_				
文法	初級			-나	- 或 -				V	#N/A	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
文法	初級			-나	多達 - 				V	59	文法	基本	助詞			文法_助詞	文法_助詞_助詞				
	中級	-		-나	什麼	이제 그만 놀고 책[이나] 좀 읽어	別玩了，看看書吧		V	59	文法	希望與打算				文法_希望與打算	文法_希望與打算_				
	中級	-		-나 마나	做不做都一樣	세차를 하[나마나]니까 나중에 하세요	車洗不洗都一樣		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
	中級	-		-냐고요?	你說	추웠[냐고요]?	你說很冷嗎？（疑問）		V	#N/A	文法	基本	引用			文法_基本	文法_基本_引用				
	中級	-		-느라고	導致	어젯밤에 축구를 보[느라고] 숙제를 못했어요	昨晚因為看足球，導致沒寫作業		V	#N/A	文法	推測與理由	理由			文法_推測與理由	文法_推測與理由_理由				
文法	初級			-는 것 같다	好像 -				V	#N/A	文法	推測與理由	#N/A			文法_推測與理由	#N/A				
	中級	-		-는 길에	途中	집에 오[는 길에] 슈퍼에 가서 두부 좀 사와	回家途中，順便去買豆腐		V	#N/A	文法	狀態與轉折				文法_狀態與轉折	文法_狀態與轉折_				
文法	初級			-는 동안	- 期間				V	#N/A	文法	數量與時間	時間			文法_數量與時間	文法_數量與時間_時間				
	中級	-		-는 바람에	導致	넘어지[는 바람에] 금메달을 못땄어요	因為跌倒，導致沒拿到金牌		V	#N/A	文法	推測與理由	理由			文法_推測與理由	文法_推測與理由_理由				
