家事	가사	
家庭	가정	
家族	가족	
專門家	전문가	專家
敏腕家	민완가	機敏的人
名門家	명문가	名門望族
價值	가치	
價格	가격	
原子價	원자가	
可能	가능	
不可能	불가능	
假令	가령	假設
假定	가정	
假髮	가발	
假登記	가등기	
街路燈	가로등	
街路樹	가로수	
歌詞	가사	
歌手	가수	
歌謠	가요	
加入	가입	
各各	각각	
各地	각지	
各其	각기	各個
各自	각자	
各種	각종	
各別	각별	
角度	각도	
視角	시각	
角逐	각축	
角膜	가막	
角雪糖	각설탕	方糖
腳本	각본	·
脚光받다	각광받다	受人矚目
脚氣病	각기병	
脚色	각색	
雕刻	조각	
時時刻刻	시시각각	
刻薄	각박	
刻苦	각고	
刻印	각인	
閣僚	각료	
閣議	각의	內閣會議
覺悟	각오	
覺書	각서	照會，備忘錄
覺醒	걱성	
肝膽	건담	
肝癌	간암	
肝炎	간염	
肝臟	간장	
間隔	간격	
間間히	간간이	斷斷續續
問隙	간극	
間食	간식	零食
間接的	간접적	
間或	간혹	有時
間斷없이	간단없이	不斷的
間諜	간첩	
間歇	간헐적	
簡單	간단	
簡洁	산결하다	
簡便	간편하다	
簡明	간명하가	
簡素	간소하다	簡樸的
干涉	간섭하다	
干與	간여하다	干預
艱辛	간신히	
艱難	간난	
奸計	간계	
奸巧	간교하다	
奸邪	간사하다	
奸惡	간악하다	
懇曲	간곡하다	誠懇
懇求	간구하다	祈求
懇談	간담	
懇切	간절하다	
懇請	간청하다	
看板	간판	
看板star	간판스타	王牌
看護	간호하다	
看護師	간호사	
看過	간과하다	忽視
看破	간파하다	
刊行	간행하다	
葛藤	갈등	矛盾
褐色	갈색	
喝彩	갈채하다	
喝取	갈취하다	打劫
喝破	갈파하다	點破；點穿
渴症	갈증	口渴
渴求	갈구하다	
渴望	갈망하다	
感	감	
感慨	감개	
感激	감격하다	
感覺	감각	
感氣	감기	感冒
感銘	감명	
感謝	감사하다	
感服	감복하다	佩服
感受性	감수성	
感動	감동하다	
感情	감정	
感情的	감성적	
監督	감독하다	
監禁	감금되다	
堪耐	감내하다	忍受
堪當	감당하다	担當
勘案	감안하다	考慮
鑑賞	감상하다	
鑑定	감정하다	
減少	감소하다	
減免	감면하다	
敢히	감히	敢於
敢然히	감연히	毅然決然
甘味	감미	甜味
甘受	감수하다	甘願
甘言	감언	甜言蜜語
紺色	감색	天藍色
木匣	목갑	
甲板	갑판	
甲富	갑부	巨富
江물	강물	江水
江邊	강변	
江南	강남	
江原道	강원도	
講師	강사	
講義	강의하다	上課
講究	강구하다	
疆域	강역	
疆土	강토	
強盗	강도	
強度	강도	
強力	강력하다	
強烈	강렬하다	
強要	강요하다	強迫
強制	강제하다	
強調	강조하다	
強하다	강하다	強
強化	강화하다	
個別	개별	
個性	개성	
個人	개인	
開放	개방하다	
開發	개발하다	
開墾	개간하다	
開講	개강하다	
改選	개선	
改善	개선하다	
概觀	개관하다	
概括	개괄하다	
客觀的	개관적	
巨額	거액	
巨大	거대하다	
距離	거리	
拒否	거부하다	拒絕
拒絕	거절하다	
居室	거실	客廳
健康	건강하다	
健全	건전하다	
建物	건물	
建設	건설하다	
建築	건축	
乾燥	건조하다	
乾季	건계	旱季
乾杯	건배하다	
傑出	걸출하다	
傑作	걸작	
劍客	검객	
檢事	검사	檢察官
檢查	검사하다	
檢討	검토하다	
檢索	검색하다	
揭示板	게시판	
揭揚	게양하다	高掛
揭載	게재하다	
激減	격감하다	
激怒	격노하다	
激動	격동하다	
激勵	격려하다	
激烈	격렬하다	
擊滅	격멸하다	
擊退	격퇴하다	
格式	격식	
格言	격언	
隔離	격리하다	
牽制	견제하다	
牽強附會	견강부회하다	
堅固	견고하다	
堅果	견과	
堅持	견지하다	
見解	견해	
見本	견본	樣本
見地	견지	
見習	견습하다	
見學	견학하다	觀光
遣責	견책하다	
結果的	결과적	
結局	결국	
結論	결론	
結膜炎	결막염	
結婚	결혼하다	
結實	결실	
潔白	결백	
潔癖症	결벽증	
缺席	결석하다	
缺番	결번	空號
缺損	결손	
決勝戰	결승전	
決心	결심하다	
決定	결정하다	
決死隊	견사대	敢死隊
兼備	겸비하다	
兼事兼事	겸사겸사	順便
兼床	겸상하다	共餐
謙遜	겸손하다	
謙虛	겸허하다	
敬虔	경건하다	
敬禮	경례하다	
敬慕	경모하다	
境界	경계	
境遇	경우	情況
警戒	경계하다	
