[강]을 건너다	渡「江」
[땅]에 떨어지다	掉在「地上」
[바다]를 건너다	過「海」
[바닥]에 떨어지다	掉在「地面」
[바닷가]로 나가다	去「海灘」
[산]에 오르다	爬「山」
[섬]:제주도	島
[지도]를 보다	看「地圖」
[호수]가 맑다	「湖水」很清徹
[자연]으로 돌아가다	回歸「自然」
[구름]이 끼다	多「雲」
[날씨]가 좋다	「天氣」好
[돌]을 던지다	丟「石頭」
[바람]이 불다	刮「風」
[별]이 빛나다	「星星」閃耀
[비]가 그치다	「雨」停
[안개]가 끼다	籠罩著「霧」
[얼음]이 녹다	放「冰塊」
[하늘]이 높다	「天空」很高
[햇빛]이 비치다	「陽光」照射
[해]가 뜨다	「太陽」升起
[강물]이 흐르다	「江水」在流
[계곡]에 가다	去「溪谷」
[굴]을 파다	挖「洞穴」
[나뭇잎]을 따다	摘「葉子」
[달빛]이 비치다	「月光」照耀
[댐]을 건설하다	營建「水庫」
[돌멩이]를 던지다	丟「小石頭」
[뒷산]에 오르다	登「後山」
[물가]에 앉다	坐在「水邊」
[물결]이 잔잔하다	「浪」靜
[물속]에서 헤엄치다	在「水中」游泳
[바닷물]이 출렁이다	「海水」蕩漾
[보름달]이 뜨다	「滿月」升起
[분수]를 내뿜다	噴出「噴泉」
[사막] 지역	沙漠
[산길]을 오르다	登「山路」上去
[산꼭대기]에 오르다	到「山頂」
[산속]을 헤매다	「在山中」徘徊
[상류]에서 떠내려오다	從「上游」下來
[수돗물]을 마시다	喝「自來水」
[숲]이 우거지다	「樹林」茂盛
[앞바다]로 나가다	出「海」
[야외]로 나가다	出去「戶外」
[언덕]을 오르다	爬「坡道」
[연못]에 빠지다	掉入「池塘」
[온천]에 가다	去「溫泉」
[우물]을 파다	挖「井」
[육지]에서 살다	在「陸地」生活
[일출]을 보다	看「日出」
[잔디밭]에 앉다	坐在「草地」
결혼 [제도]	結婚「制度」
[파도]가 부서지다	「海浪」飛濺
[폭포]를 구경하다	觀賞「瀑布」
[해변]을 거닐다	在「海灘」漫步
[해수욕장]을 개장하다	「海水浴場」開張
[해안] 지방	「海岸」地方
[농사일]을 돕다	幫「農活」
[농산물]을 판매하다	販賣「農產品」
[소음]을 줄이다	減少「噪音」
[오염] 물질	「污染」物質
[재활용] 쓰레기	「再用」垃圾
[재활용품]을 모으다	收集「可回收物」
[자연적] 환경	「自然的」環境
[자연환경]을 보호하다	保護「自然環境」
[자연히] 없어지다	「自然地」消失
[그늘]이 지다	造成「陰影」
황[금]	黃「金」
[기후]가 좋다	「氣候」很好
[대기]가 오염되다	「大氣」被污染
[돌]을 맞다	被「石頭」砸中
[모래] 사막	沙漠
[무지개]가 뜨다	出「彩虹」
[바위]에 걸터앉다	坐在「岩石」上
[별] 볼 일	小事
[보석]이 반짝이다	「寶石」閃亮
[석유] 산업	「石油」產業
[우주] 만물	「宇宙」萬物
금과 [은]	金和「銀」
[지구]에 살다	住在「地球」
[철]이 바뀌다	「季節」變換
[초승달]이 뜨다	「新月」落下
[태양]이 뜨다	「太陽」落下
[홍수]가 나다	洪水
[흙]을 털다	撣「土」
