[강아지]를 키우다	養「小狗」
[개]	狗
[고양이]를 기르다	養「貓」
[닭]을 키우다	養「雞」
[동물]을 키우다	養「動物」
[돼지]를 기르다	餵養「豬」
[말]을 타다	騎「馬」
[모기]에 물리다	被「蚊子」叮
[물고기]를 잡다	捉「魚」
[뱀]:동물	蛇
[새]:동물	鳥
[소]:동물	牛
[코끼리]:동물	大象
[토끼]:동물	兔子
[호랑이]	老虎
[개구리]를 잡다	捉「青蛙」
[개미]:곤충	螞蟻
[거미]:곤충	蜘蛛
[거북이]:동물	龜
[고래]가 헤엄치다	「鯨魚」在游泳
[곰]:동물	熊
[꼬리]를 흔들다	「搖」尾巴
[나비]:곤충	蝴蝶
[날개]를 펴다	展開「翅膀」
[독]이 퍼지다	「毒性」擴散
[둥지]를 틀다	築「巢」
[매]를 맞다	挨「棍子」
[먹이]를 주다	餵「飼料」
[멍멍]  짖다	「汪汪」叫
[무리]가 되다	成「群」
개에 [물리다]	被狗咬
[벌]에 쏘이다	被「蜜蜂」蜇
[벌레]를 잡다	抓住「蟲子」
[사자]:동물	獅子
[새끼]를 낳다	生「小貓」
[생기]가 넘치다	充滿「生機」
[송아지]를 키우다	養「小牛」
[알]에서 깨다	從「蛋」中孵化
[애완동물]을 기르다	養「寵物」
고양이가  [야옹] 울다	貓「喵喵」哭
[양]:동물	羊
[오리]:동물	鴨
[용]:동물	龍
[원숭이]를 키우다	養「猴」
[잠자리]를 잡다	捉「蜻蜓」
[쥐]:동물	老鼠
[짐승]을 잡다	抓住「野獸」
강아지가 [짖다]	小狗「吠」
