건물이 [나타나다]	「出現」建築
[불]을 피우다	點「火」
[소리]가 나다	發出「聲音」
나무를 [심다]	「種」樹
[전기]가 끊기다	斷「電」
경기에서 [지다]	比賽「輸」
불에 [타다]	「著」火
[힘]이 세다	「力量」強
모습을 [나타내다]	「露」面
회사가 [사라지다]	公司「消失了」
[기존] 시설	「既存」設施
[보존] 상태	「保存」狀態
[보충] 수업	「補」課
멋을 [부리다]	「顯現」美麗
무서운 광경의 [전개].	恐怖場景的「展現」
냄새가 [배다]	「沾上」氣味
[가루]로 만들다	做成「粉末」
얼굴을 [가리다]	把臉「遮住」
앞이 [가리다].	前面「被遮住」
우승팀을 [가리다].	「挑出」優勝隊
얼굴을 [감싸다]	「捂著」臉
모습을 [감추다]	「隱藏」踪跡
[거품]이 나다	產生「氣泡」
[공간]을 차지하다	占據「空間」
[공기]를 마시다	吸「空氣」
[구멍]을 뚫다	打「洞」
[그림자]가 지다	蒙上「陰影」
[기반]을 다지다	打緊「基盤」（打穩根基）
[기본]을 익히다	打好「基本」（打好基礎）
[기본적] 권리	「基本的」權利
[김]이 나다	冒「熱氣」
꽃을 [꺾다]	「摘」花
[농사]를 짓다	種「莊稼」
[농업]에 종사하다	從事「農務」
사과를 [따다]	「摘」蘋果
[먼지]를 닦다	擦「灰塵」
[물질]을 추구하다	出口「物質」
[물질적] 보상	「物質的」補償
눈을 [뭉치다]	把雪「結成塊」
[바탕]을 이루다	打「基礎」
[빛]이 나다	發「光」
머리카락이 [뽑히다]	頭髮「被拔」
빗방울이 [뿌리다]	雨點「灑落」
[산불]이 나다	發生「森林火災」
자동차 [산업]	汽車「產業」
꽃이 [시들다]	花「枯萎」
[압력]이 높다	「壓力」大
고기가 [연하다]	肉「嫰」
뜨거운 [열기]	熱「氣」
[전자] 제품	「電子」製品
