분식	麵	氣氛	點火	烤肉
분위기	氣氛	點火	烤肉	不安
불	點火	烤肉	不安	不便
불고기	烤肉	不安	不便	襯衫
불다	風吹	沾上	貼	空著
불쌍하다	不幸	紅色的	相似	貴
불안	不安	不便	襯衫	雨
불편	不便	襯衫	雨	比較
붉다	紅色的	相似	貴	快
붙다	沾上	貼	空著	借
붙이다	貼	空著	借	掉
블라우스	襯衫	雨	比較	肥皂
비	雨	比較	肥皂	視頻
비교	比較	肥皂	視頻	秘密
비누	肥皂	視頻	秘密	拌飯
비다	空著	借	掉	洗
비디오	視頻	秘密	拌飯	飛機
비밀	秘密	拌飯	飛機	房子
비빔밥	拌飯	飛機	房子	洗衣服
비슷하다	相似	貴	快	紅色的
비싸다	貴	快	紅色的	可取的
비행기	飛機	房子	洗衣服	麵包
빌딩	房子	洗衣服	麵包	麵包店
빌리다	借	掉	洗	拔
빠르다	快	紅色的	可取的	端正
빠지다	掉	洗	拔	撿
빨갛다	紅色的	可取的	端正	在深夜
빨다	洗	快	拔	送回
빨래	洗衣服	麵包	麵包店	勺子
빨리	走快點	乾	閃光	猛地
빵	麵包	麵包店	勺子	籃子
빵집	麵包店	勺子	籃子	針
빼다	拔	歡迎	送回	擺好
뽑다	拔	送回	擺好	供上
사거리	十字路口	四季	事故	蘋果
사계절	四季	事故	蘋果	人
사고	事故	蘋果	人	愛情
사과	蘋果	人	愛情	辦公室
사귀다	交	買	住	思考
사다	買	住	思考	建
