행사	活動	腰部	健身房	舌頭
허리	腰部	健身房	舌頭	現金
헤어지다	分開	重來	生氣	流動
헬스클럽	健身房	舌頭	現金	哥哥
혀	舌頭	現金	哥哥	兄弟
현금	現金	哥哥	兄弟	老虎
현재	現在的	逐個	一段時期	很久
형	哥哥	兄弟	老虎	湖水
형제	兄弟	老虎	湖水	紅茶
호랑이	老虎	湖水	紅茶	憤怒
호수	湖水	紅茶	憤怒	畫家
혹시	如果	活躍的	更	也是
혼자	一個人	好	嗯	這樣啊
홍차	紅茶	憤怒	畫家	衛生間
화	憤怒	畫家	衛生間	化妝品
화가	畫家	衛生間	化妝品	歡迎
화나다	生氣	高興	流動	揮
화내다	生氣	流動	揮	飄
화려하다	華麗	優秀	渾濁	吃力
화장실	衛生間	化妝品	歡迎	病人
화장품	化妝品	歡迎	病人	換匯
환영	歡迎	病人	換匯	公司
환자	病人	換匯	公司	會社員
환전	換匯	公司	會社員	灰色
활발히	活躍的	更	也是	很
회	-回	會談	恢復	會費
회사	公司	會社員	灰色	會員
회사원	會社員	灰色	會員	會議
회색	灰色	會員	會議	斑馬線
회원	會員	會議	斑馬線	後
회의	會議	斑馬線	後	新人
횡단보도	斑馬線	後	新人	假期
후	後	新人	假期	休息室
후배	新人	假期	休息室	手機
훌륭하다	優秀	渾濁	吃力	有害
훨씬	更	也是	很	總之
휴가	假期	休息室	手機	假日
휴게실	休息室	手機	假日	衛生紙
휴대폰	手機	假日	衛生紙	垃圾箱
휴일	假日	衛生紙	垃圾箱	希望
