세배	拜年	世界	洗臉	洗衣服
세상	世界	洗臉	洗衣服	洗衣機
세수	洗臉	洗衣服	洗衣機	洗衣店
세우다	站起來	休息	喘息	悲傷
세탁	洗衣服	洗衣機	洗衣店	中心
세탁기	洗衣機	洗衣店	中心	牛
세탁소	洗衣店	中心	牛	介紹
센터	中心	牛	介紹	牛肉
센티미터	-厘米	牛	介紹	牛肉
셋째	第三	第二十天	第九	第八
소	牛	介紹	牛肉	鹽
소개	介紹	牛肉	鹽	聲音
소고기	牛肉	鹽	聲音	小說
소금	鹽	聲音	小說	消息
소리	聲音	小說	消息	燒酒
소설	小說	消息	燒酒	沙發
소식	消息	燒酒	沙發	包裹
소주	燒酒	沙發	包裹	野餐
소중하다	寶貴	簡單	悲傷	吵雜
소파	沙發	包裹	野餐	消化藥
소포	包裹	野餐	消化藥	裡
소풍	野餐	消化藥	裡	速度
소화제	消化藥	裡	速度	內衣
속	裡	速度	內衣	手
속도	速度	內衣	手	手指
속옷	內衣	手	手指	孫女
손	手	手指	孫女	客人
손가락	手指	孫女	客人	手掌
손녀	孫女	客人	手掌	手帕
손님	客人	手掌	手帕	松餅
손바닥	手掌	手帕	松餅	購物
손수건	手帕	松餅	購物	數字
송편	松餅	購物	數字	毛巾
쇼핑	購物	數字	毛巾	辛苦
수	數字	毛巾	辛苦	西瓜
수건	毛巾	辛苦	西瓜	手術
수고	辛苦	西瓜	手術	上課
수박	西瓜	手術	上課	游泳
수술	手術	上課	游泳	泳裝
수업	上課	游泳	泳裝	游泳池
