휴지	衛生紙	垃圾箱	希望	白色
휴지통	垃圾箱	希望	白色	力量
흐르다	流動	揮	飄	結合
흐리다	渾濁	吃力	有害	險峻
흔들다	揮	飄	結合	合為
흘리다	飄	結合	合為	完成
희망	希望	白色	力量	下
흰색	白色	力量	下	上帝
힘	力量	下	上帝	住宿
힘들다	吃力	有害	險峻	和暢
바깥	外	外面	香蕉	海
바깥쪽	外面	香蕉	海	地面
바꾸다	換成	買	盼望	抬頭看
바뀌다	換成	盼望	抬頭看	塗
바나나	香蕉	海	地面	海灘
바다	海	地面	海灘	風
바닥	地面	海灘	風	小提琴
바닷가	海灘	風	小提琴	褲子
바라다	盼望	抬頭看	塗	收到
바라보다	抬頭看	塗	收到	聽寫
바람	風	小提琴	褲子	博物館
바로	立即	務必	已經	沒
바르다	塗	收到	聽寫	學
바쁘다	忙	歡迎	複雜	害羞地
바이올린	小提琴	褲子	博物館	拍手
바지	褲子	博物館	拍手	外面
박물관	博物館	拍手	外面	半個
박수	拍手	外面	半個	班
밖	外面	半個	班	反方向
반	半個	塗	反方向	短褲
반	班	塗	反方向	短褲
반갑다	歡迎	複雜	害羞地	柔軟的
반대	反方向	短褲	戒指	小菜
반드시	務必	已經	沒	再
반바지	短褲	戒指	小菜	腳
반지	戒指	小菜	腳	腳趾
반찬	小菜	腳	腳趾	腳底
받다	收到	聽寫	學	丟
받아쓰다	聽寫	學	丟	賺
발	腳	腳趾	腳底	夜
