조카	侄子	畢業	種類	從業員
졸다	打瞌睡	喜歡	給	睡覺
졸업	畢業	種類	從業員	紙
좀	有點	主要	一直打擾	自然
좁다	狹窄	很好	抱歉	開心
종류	種類	從業員	紙	週末
종업원	從業員	紙	週末	口袋
종이	紙	週末	口袋	訂單
좋다	很好	抱歉	開心	無聊
좋아하다	喜歡	給	睡覺	死
죄송하다	抱歉	開心	無聊	濃
주	-週	睡覺	死	縮小
주다	給	睡覺	死	縮小
주로	主要	一直打擾	自然	滿滿地
주말	週末	口袋	訂單	週邊
주머니	口袋	訂單	週邊	主婦
주무시다	睡覺	死	縮小	調小
주문	訂單	週邊	主婦	注射
주변	週邊	主婦	注射	寫地址
주부	主婦	注射	寫地址	果汁
주사	注射	寫地址	果汁	周圍
주소	寫地址	果汁	周圍	主人
주스	果汁	周圍	主人	停車
주위	周圍	主人	停車	停車場
주인	主人	停車	停車場	朱黃色
주일	-星期	點	每週	光圈
주차	停車	停車場	朱黃色	準備
주차장	停車場	朱黃色	準備	繩子
주황색	朱黃色	準備	繩子	中間
죽다	死	縮小	調小	撿
준비	準備	繩子	中間	中國
줄	繩子	中間	中國	中國餐廳
줄다	縮小	調小	撿	很開心
줄이다	調小	撿	很開心	愉快
줍다	撿	很開心	愉快	經過
중	-中	中古	二手車	二手貨
중간	中間	中國	中國餐廳	中心
중국	中國	中國餐廳	中心	中央
중국집	中國餐廳	中心	中央	重要
중심	中心	中央	重要	進中學
