일부	部份	日式食物	日式餐廳	一周
일식	日式食物	日式餐廳	一周	口
일식집	日式餐廳	一周	口	入口
일어나다	起床	起來	讀	丟失
일어서다	起來	讀	丟失	睡
일주일	一周	口	入口	嘴唇
일찍	早起	可能	總是	無論如何
읽다	讀	問	丟失	忘記
잃다	丟失	找到	忘記	想起
잃어버리다	丟失	找到	忘記	省
입	口	入口	嘴唇	入院
입구	入口	嘴唇	入院	入場卷
입술	嘴唇	入院	入場卷	入學
입원	入院	入場卷	入學	入學考試
입장권	入場卷	入學	入學考試	葉子
입학	入學	入學考試	葉子	嬰兒
입학시험	入學考試	葉子	嬰兒	孩子
있다	在家	困	偶爾	滿滿地
잊다	忘記	捕捉	省	擁抱
잊어버리다	忘記	省	擁抱	想起
잎	葉子	嬰兒	孩子	兒子
하얀색	白色	飯店	星期二	天空
차	車	茶	順序	冷水
차	茶	茶	順序	冷水
차갑다	涼	熱	好	溫
차다	滿滿地	踢	戴	忍住
차다	踢	踢	戴	忍住
차다	戴	踢	戴	忍住
차다	涼	踢	戴	忍住
차례	順序	冷水	香瓜	窗
착하다	好	冷	充足	親密
찬물	冷水	香瓜	窗	蔬菜
참	真	慢慢	不如	忍心
참다	忍住	找	去找	來找
참외	香瓜	窗	蔬菜	書
창문	窗	蔬菜	書	書桌
찾다	找	去找	來找	來訪
찾아가다	去找	來找	來訪	仰望
찾아보다	來找	來訪	仰望	跳
찾아오다	來訪	仰望	跳	跳舞
