쌀쌀하다	寒冷	苦	迷人的	瑣碎的
쌓다	堆積	切	寫	戴
썰다	切	寫	戴	用
쓰다	寫	戴	用	嚼
쓰다	戴	戴	用	嚼
쓰다	用	戴	用	嚼
쓰다	苦	戴	用	嚼
쓰레기	垃圾	垃圾桶	事件	思維方式
쓰레기통	垃圾桶	事件	思維方式	道歉
씨	氏	摔角	火	早晨
씹다	嚼	洗	買	消失
씻다	洗	買	消失	捉住
자기소개	自我介紹	汽車	自動販賣機	自豪
자꾸	一直	清楚地	經常	很
자다	睡覺	生長	剪	順利
자동차	汽車	自動販賣機	自豪	座位
자동판매기	自動販賣機	自豪	座位	孩子
자라다	生長	剪	順利	錯誤
자랑	自豪	座位	孩子	自己
자르다	剪	順利	錯誤	烤
자리	座位	孩子	自己	自由
자세히	清楚地	經常	很	完全
자식	孩子	自己	自由	炸醬麵
자신	自己	自由	炸醬麵	自行車
자연	自然	全部	真的	真話
자유	自由	炸醬麵	自行車	自動販賣機
자장면	炸醬麵	自行車	自動販賣機	杯
자전거	自行車	自動販賣機	杯	宴會
자주	經常	很	完全	漸漸
자판기	自動販賣機	杯	宴會	睡覺
작다	小	好看	無趣	有趣
잔	杯	宴會	睡覺	雜誌
잔치	宴會	睡覺	雜誌	雜菜
잘	很	完全	漸漸	無精打采的
잘되다	順利	不順	錯誤	做得好
잘못	錯誤	等一下	暫時	每個
잘못되다	錯誤	捕捉	做得好	大睡
잘못하다	錯誤	做得好	大睡	㧓住
잘생기다	好看	無趣	有趣	那樣
잘하다	做得好	大睡	㧓住	用膳
