채소	蔬菜	書	書桌	書櫃
책	書	書桌	書櫃	先
책상	書桌	書櫃	先	第一天
책장	書櫃	先	第一天	伙子
처음	先	第一天	伙子	牛仔褲
천천히	慢慢	不如	忍心	漸漸
첫	初次	總	一位	一個或兩個
첫날	第一天	伙子	牛仔褲	清掃
첫째	第一	千萬	九	九十
청년	伙子	牛仔褲	清掃	青少年
청바지	牛仔褲	清掃	青少年	體育館
청소	清掃	青少年	體育館	格子
청소년	青少年	體育館	格子	邀請
체육관	體育館	格子	邀請	邀請函
체크무늬	格子	邀請	邀請函	小學
쳐다보다	仰望	跳	跳舞	拍
초	初-			
초	-秒			
초대	邀請	邀請函	小學	小學生
초대장	邀請函	小學	小學生	草綠色
초등학교	小學	小學生	草綠色	巧克力
초등학생	小學生	草綠色	巧克力	最高
초록색	草綠色	巧克力	最高	最近
초콜릿	巧克力	最高	最近	中秋節
최고	最高	最近	中秋節	足球
최근	最近	中秋節	足球	很久
추다	跳	跳舞	拍	準備
추석	中秋節	中元	足球	慶祝
축구	足球	菊花	慶祝	出口
축구공	足球	慶祝	出口	出勤
축하	慶祝	出口	出勤	出發
출구	出口	出勤	出發	出席
출근	出勤	出發	出席	出入
출발	出發	出席	出入	出入境
출석	出席	出入	出入境	出差
출입	出入	出入境	出差	通勤
출입국	出入境	出差	通勤	舞
출장	出差	通勤	舞	休閒
출퇴근	通勤	舞	休閒	取消
춤	舞	休閒	取消	就職
