같다	相同	懶惰的	感謝	餓
같이	一起	馬上去	就那樣	照原樣
갚다	還	越過	穿越	走路
개	狗	大街	距離	鏡子
개	一個	大街	距離	鏡子
개월	三個月	-東西	本	間
거기	那裡	這位	那邊	她
거리	大街	對面	鏡子	拒絕
거리	距離	對面	鏡子	拒絕
거울	鏡子	拒絕	謊話	擔心
거의	幾乎	一直	前天	靠近
거절	拒絕	謊話	擔心	健康
거짓말	謊話	擔心	健康	對面
걱정	擔心	健康	對面	腳步
건강	健康	對面	腳步	檢查
건너가다	越過	穿越	走路	掛
건너다	穿越	走路	掛	逃
건너편	對面	腳步	檢查	黑色
걷다	走路	跑步	掛	走去
걸다	掛	步行	走去	走回
걸리다	掛	走去	走回	在
걸어가다	走去	走回	在	挑
걸어오다	走回	在	挑	修理
걸음	腳步	檢查	黑色	路
검사	檢查	工事	黑色	外部
검은색	黑色	白色	外部	電腦遊戲
검정	黑色	外部	電腦遊戲	結果
것	-東西	本	間	-堂
겉	外部	電腦遊戲	結果	缺席
게으르다	懶惰的	感謝	餓	好
게임	電腦遊戲	結果	缺席	決心
결과	結果	缺席	決心	決定
결석	缺席	決心	決定	結婚
결심	決心	決定	結婚	婚禮
결정	決定	結婚	婚禮	比賽
결혼	結婚	婚禮	比賽	警察
결혼식	婚禮	比賽	警察	風景
경기	比賽	警察	風景	經驗
경찰	警察	風景	經驗	雞蛋
경치	風景	經驗	雞蛋	結帳
