울산	蔚山	哭	笑	連身裙
울음	哭	笑	連身裙	薪水
움직이다	身體	笑	求	贏
웃다	笑	求	贏	成熟
웃음	笑	連身裙	薪水	上面
원	-元	套房	原理	申請書
원피스	連身裙	薪水	上面	套房
원하다	求	贏	成熟	認同
월급	薪水	上面	下面	位置
위	上面	下面	位置	危險
위쪽	上面	位置	危險	玻璃
위치	位置	危險	玻璃	有名
위험	危險	玻璃	有名	幼兒園
유리	玻璃	有名	幼兒園	留學
유명	有名	幼兒園	留學	留學生
유치원	幼兒園	留學	留學生	流行
유학	留學	留學生	流行	天橋
유학생	留學生	流行	天橋	擲骰遊戲
유행	流行	天橋	擲骰遊戲	飲料
육교	天橋	擲骰遊戲	飲料	地下道
윷놀이	擲骰遊戲	玩具	飲料	食物
음	嗯	是的	沒有	哎
음료	飲料	應用	食物	餐廳
음료수	飲料	食物	餐廳	音樂
음식	食物	餐廳	音樂	音樂家
음식점	餐廳	音樂	音樂家	意義
음악	音樂	音樂家	意義	醫生
음악가	音樂家	意義	醫生	椅子
응	是的	沒有	哎	天哪
의미	意義	醫生	椅子	牙
의사	醫生	椅子	牙	當天
의자	椅子	牙	當天	機會
이	牙	當天	機會	姓名
이거	這個	那個	這個地方	這位
이것	這個	這個地方	這位	這邊
이곳	這個地方	這位	這邊	某某人
이기다	贏	成熟	認同	起床
이날	當天	機會	姓名	額頭
이다	是	機會	姓名	額頭
이따가	待會	已經	早起	可能
