가격	價格	歌手	胸部	歌謠
가끔	偶爾	滿滿地	最	簡單地
가늘다	細	簡單的	力量強	相同
가득	滿滿地	最	簡單地	突然
가리키다	指	帶去	帶來	帶著
가수	歌手	胸部	歌謠	中間的
가슴	胸部	歌謠	中間的	剪刀
가요	歌謠	中間的	剪刀	家人
가운데	中間的	剪刀	家人	零食
가위	剪刀	家人	零食	醬油
가장	最	簡單地	突然	一起
가져가다	帶去	帶來	帶著	換穿
가져오다	帶來	帶著	換穿	轉搭
가족	家人	零食	醬油	護士
가지	種類	假	價值	價值觀
가지다	帶著	換穿	轉搭	閉
각각	各國	幾乎	一直	前天
간단하다	簡單的	力量強	相同	懶惰的
간단히	簡單地	突然	一起	馬上去
간식	零食	醬油	護士	排骨
간장	醬油	護士	排骨	排骨湯
간호사	護士	排骨	排骨湯	棕色
갈비	排骨	排骨湯	棕色	柿子
갈비탕	排骨湯	棕色	柿子	感冒
갈색	棕色	柿子	感冒	感冒藥
갈아입다	換穿	轉搭	閉	染
갈아타다	轉搭	閉	染	拿錢
감	柿子	感冒	感冒藥	感謝
감기	感冒	感冒藥	感謝	馬鈴薯
감기약	感冒藥	感謝	馬鈴薯	價錢
감다	閉	開	拿錢	還
감다	染	開	拿錢	還
감사	感謝	馬鈴薯	價錢	江
감자	馬鈴薯	價錢	江	小狗
갑자기	突然	一起	馬上去	就那樣
값	價錢	江	小狗	狗
강	江	小狗	狗	大街
강아지	小狗	狗	大街	小貓
강하다	力量強	相同	懶惰的	感謝
갖다	拿錢	還	越過	穿越
