사람	人	愛情	辦公室	事業
사랑	愛情	辦公室	事業	採用
사무실	辦公室	事業	採用	中間
사실	事實	正好	現在	昨天
사업	事業	採用	中間	汽水
사용	採用	中間	汽水	尺寸
사이	中間	汽水	尺寸	社長
사이다	汽水	尺寸	社長	字典
사이즈	尺寸	社長	字典	照片
사장	社長	字典	照片	糖果
사전	字典	照片	糖果	三天
사진	照片	糖果	三天	爬山
사탕	糖果	三天	爬山	散步
사흘	三天	爬山	散步	肉
산	爬山	散步	肉	三岔路
산책	散步	肉	三岔路	五花肉
살	肉	三岔路	五花肉	參雞湯
살	-歲	三岔路	五花肉	參雞湯
살다	住	思考	建	站直
삼거리	三岔路	五花肉	參雞湯	叔叔
삼겹살	五花肉	參雞湯	叔叔	得奬
삼계탕	參雞湯	叔叔	得奬	箱
삼촌	叔叔	得奬	箱	傷口
상	得奬	箱	傷口	生菜
상자	箱	傷口	生菜	產品
상처	傷口	生菜	產品	鳥
상추	生菜	產品	鳥	清晨
상품	產品	鳥	清晨	新年
새	鳥	三四個	消極的	大約
새	新衣	三四個	消極的	大約
새로	新買的	彼此	偷偷溜出去	沒有關係
새롭다	新的	涼爽	感到失望	硬
새벽	清晨	新年	顏色	晚上
새해	新年	鳥	顏色	三明治
색	顏色	書	三明治	思考
색깔	顏色	三明治	思考	魚
샌드위치	三明治	思考	魚	生辰
생각	思考	魚	生辰	生日
생각나다	思考	建	站直	匆忙
생기다	建	站直	匆忙	摻
