특히	尤其	空蕩蕩	完全	定局
튼튼하다	強	胖乎乎的	肯定是	天藍
틀다	開	錯	先天	領（薪水）
틀리다	錯	先天	領（薪水）	禁不住
티셔츠	T恤	隊	他人	桌子
팀	隊	他人	桌子	出生
파랗다	天藍	不舒服	舒坦	綠的
파티	派對	手臂	方便	平安
팔	手臂	方便	平安	寫信
팔다	賣	慢慢地	翻	舖
팔리다	賣	翻	舖	鬆開
펴다	翻	舖	鬆開	開花
펴다	舖	舖	鬆開	開花
편리	方便	平安	寫信	平常
편안	平安	寫信	平常	平日
편지	寫信	平常	平日	葡萄
편찮다	不舒服	舒坦	綠的	普通的
편하다	舒坦	綠的	普通的	平和
평소	平常	平日	葡萄	包裝
평일	平日	葡萄	包裝	票
포도	葡萄	包裝	票	風景
포장	包裝	票	風景	平底鍋
표	票	風景	平底鍋	法國
푸르다	綠的	普通的	平和	柔軟
푹	熟睡	很	安逸	但
풀다	鬆開	開花	（花朵）盛開	挖
풍경	風景	平底鍋	法國	計劃
프라이팬	平底鍋	法國	計劃	血
프랑스	法國	計劃	血	疲勞
프로그램	計劃	血	疲勞	鋼琴
피	血	疲勞	鋼琴	披薩
피곤	疲勞	鋼琴	披薩	需要
피다	開花	（花朵）盛開	挖	散開
피아노	鋼琴	披薩	需要	鉛筆盒
피우다	（花朵）盛開	挖	散開	出版
피자	披薩	需要	鉛筆盒	蔥
필요	需要	鉛筆盒	蔥	破壞
필통	鉛筆盒	蔥	破壞	海浪
하늘	天空	天藍色	一天	住宿費
하늘색	天藍色	一天	住宿費	宿舍
