앞	前	前面	嬰兒	情人
앞쪽	前面	嬰兒	情人	相冊
애	嬰兒	情人	相冊	棒球
애인	情人	相冊	棒球	蔬菜
앨범	相冊	棒球	蔬菜	藥
야	嘿	呃	喂（電話用語）	是的
야구	棒球	蔬菜	藥	藥店
야채	蔬菜	藥	藥店	藥師
약	大約	任何	什麼	一些
약	藥	任何	什麼	一些
약간	一點	昨天	這麼多	錯誤
약구	藥店	藥師	承諾	襪子
약사	藥師	承諾	襪子	西服
약속	承諾	襪子	西服	洋食
약하다	弱	薄	暗	怎樣
얇다	薄	暗	怎樣	如何
양말	襪子	西服	洋食	西式餐廳
양복	西服	洋食	西式餐廳	刷牙
양식	洋食	西式餐廳	刷牙	故事
양식집	西式餐廳	刷牙	故事	肩膀
양치질	刷牙	故事	肩膀	成人
얘기	故事	肩膀	成人	小孩
어	呃	喂（電話用語）	是的	哇
어깨	肩膀	成人	小孩	孩子
어느	任何	什麼	一些	老
어둡다	暗	怎樣	如何	難
어디	哪裡	這裡	每位	我們
어떠하다	怎樣	如何	難	年幼
어떤	什麼	一些	老	這個
어떻다	如何	難	年幼	漂亮
어렵다	難	年幼	漂亮	久遠
어른	成人	小孩	孩子	母親
어리다	年幼	漂亮	久遠	正確
어린아이	小孩	大人	母親	父親
어린이	孩子	母親	爸爸	昨天晚上
어머니	母親	父親	昨天晚上	姐姐
어머님	母親	昨天晚上	姐姐	語言
어서	趕快	總是	多	還是
어울리다	合	取	結（冰）	請教
어젯밤	昨天晚上	姐姐	語言	臉
