담배	香煙	回答	回信	大邱
답	回答	回信	大邱	回覆
답답하다	鬱悶	髒	熱	厚
답장	回信	大邱	回覆	大使館
대	-台	石頭	籌措	車輪
대구	大邱	回覆	大使館	大田
대답	回覆	大使館	大田	大學
대부분	大部份	暫時	大綱	大概
대사관	大使館	大田	大學	大眾
대전	大田	大邱	大學	大學生
대학	大學	中學	大學生	研究所
대학교	大學	大學生	研究所	對話
대학생	大學生	研究所	對話	運動會，錦標賽
대학원	研究所	對話	運動會，錦標賽	父母
대화	對話	運動會，錦標賽	父母	見面
대회	運動會，錦標賽	父母	見面	道路
댁	家	本人名義	自己	橫向
더	更多的	更	終於	個別
더럽다	髒	熱	厚	溫暖
더욱	更	終於	個別	又
덕분	父母	見面	道路	城市
던지다	扔	帶去	帶來	幫忙
덥다	熱	厚	溫暖	相同的
데려가다	帶去	帶來	幫忙	旋轉
데려오다	帶來	幫忙	旋轉	還
데이트	見面	道路	城市	幫助
도	度	道	月	時候
도로	道路	反倒	怎麼也	實在
도시	城市	幫助	到達	讀書
도와주다	幫忙	旋轉	還	爬上
도움	幫助	到達	讀書	德國
도착	到達	讀書	德國	錢
독서	讀書	德國	錢	豬排
독일	德國	錢	豬排	石頭
돈	錢	豬排	石頭	小鎮
돈가스	豬排	石頭	小鎮	東大門
돌	石頭	小鎮	東大門	動物
돌다	旋轉	還	闗掉	放手
돌려주다	還	旋轉	轉動	回來
돌리다	旋轉	轉動	回來	助
