돌아가다	轉動	回來	助	當
돌아오다	回來	助	當	放
돕다	助	當	放	給
동네	小鎮	東大門	動物	弟弟
동대문	東大門	動物	弟弟	同時
동물	動物	弟弟	同時	期間
동생	弟弟	同時	期間	硬幣
동시	同時	期間	硬幣	東方
동안	期間	硬幣	東方	豬
동전	硬幣	東方	豬	豬肉
동쪽	東方	豬	豬肉	味噌醬
돼지	豬	豬肉	味噌醬	味噌鍋
돼지고기	豬肉	味噌醬	味噌鍋	豆腐
되다	當	放	給	聽
된장	味噌醬	味噌鍋	豆腐	頭痛
된장찌개	味噌鍋	豆腐	頭痛	後
두껍다	厚	溫暖	相同的	聰明
두다	放	給	聽	花
두부	豆腐	頭痛	後	後面
두세	兩三個	僅僅	四五個	胡亂想
두통	頭痛	後	後面	連續劇
둘째	第二	第三	第二十天	第九
뒤	後	後面	連續劇	背
뒤쪽	後面	連續劇	背	登山
드디어	終於	個別	又	或
드라마	連續劇	背	登山	設計
드리다	給	聽	花	提著
듣다	聽	花	提著	進去
들다	花	提著	進去	聽到
들다	提著	提著	進去	聽到
들르다	進去	聽到	緊挨著	進來
들리다	聽到	進去	進來	離開
들어가다	進去	進來	離開	大聲
들어오다	進來	離開	大聲	掉下
등	背	登山	設計	女兒
등산	登山	設計	女兒	草莓
디자인	設計	女兒	草莓	汗
따뜻하다	溫暖	相同的	聰明	胖
따로	個別	又	或	平均
딸	女兒	草莓	汗	地上
