연필	鉛筆	連假	燒	鑰匙
연휴	連假	燒	鑰匙	火車
열	燒	鑰匙	火車	十天
열다	開	開著	上漲	爬上去
열리다	開著	上漲	爬上去	爬上來
열쇠	鑰匙	火車	十天	明信片
열심히	用心地	很久	完全	為什麼
열차	火車	十天	明信片	英國
열흘	十天	明信片	英國	收據
엽서	明信片	英國	收據	英語
영국	英國	收據	英語	零下
영수증	收據	英語	零下	電影
영어	英語	零下	電影	電影演員
영하	零下	電影	電影演員	旁邊
영화	電影	電影演員	旁邊	住隔壁
영화배우	電影演員	旁邊	住隔壁	預售
옆	旁邊	住隔壁	預售	藝術
옆집	住隔壁	預售	藝術	預習
예	是的	哇	嗯	不是
예매	預售	藝術	預習	預訂
예쁘다	漂亮	久遠	正確	孤單
예술	藝術	預習	預訂	很久以前
예습	預習	預訂	很久以前	好久不見
예약	預訂	很久以前	好久不見	最近
옛	老	這個	沒有	兩
옛날	很久以前	馬上	最近	最後
오래	很久	完全	為什麼	因為
오래간만	好久不見	不久前	馬上	柳橙
오래되다	久遠	正確	孤單	這樣的
오랜만	好久不見	很久	柳橙	右手
오랫동안	很久	柳橙	右手	右邊
오렌지	柳橙	右手	右邊	哥哥
오르다	上漲	爬上去	爬上來	下來
오른손	右手	右邊	哥哥	黃瓜
오른쪽	右邊	哥哥	黃瓜	溫度
오빠	哥哥	黃瓜	溫度	閣下
오이	黃瓜	溫度	閣下	奧林匹克競賽
온도	溫度	閣下	奧林匹克競賽	衣服
올라가다	爬上去	爬上來	上漲	記
올라오다	爬上來	上漲	記	哭
