경험	經驗	雞蛋	結帳	季節
계란	雞蛋	結帳	季節	計劃
계산	結帳	季節	計劃	頭
계속	一直	前天	靠近	有時
계시다	在	挑	修理	痛楚
계절	季節	計劃	頭	肉
계획	計劃	頭	肉	中學
고개	頭	肉	中學	中學生
고기	肉	中學	中學生	姑母
고등학교	中學	中學生	姑母	苦悶
고등학생	中學生	姑母	苦悶	高速巴士
고르다	挑	修理	痛楚	烤
고맙다	感謝	餓	好	粗
고모	姑母	苦悶	高速巴士	貓
고민	苦悶	高速巴士	貓	故障
고속버스	高速巴士	貓	故障	辣椒醬
고양이	貓	故障	辣椒醬	故鄉
고장	故障	辣椒醬	故鄉	-地方
고추장	辣椒醬	故鄉	-地方	球
고치다	修理	痛楚	烤	疼愛
고프다	餓	好	粗	有興趣
고향	故鄉	-地方	球	公務員
곧	馬上去	就那樣	照原樣	所以
곳	-地方	球	公務員	學習
공	球	公務員	學習	工廠
공무원	公務員	學習	工廠	免費
공부	學習	工廠	免費	筆記本
공장	工廠	免費	筆記本	公休日
공짜	免費	筆記本	公休日	過去
공책	筆記本	公休日	過去	水果
공휴일	公休日	過去	水果	餅乾
과거	過去	水果	餅乾	關係
과일	水果	餅乾	關係	觀光
과자	餅乾	關係	觀光	觀光客
관계	關係	觀光	觀光客	觀光地
관광	觀光	觀光客	觀光地	闗心
관광객	觀光客	觀光地	闗心	廣告
관광지	觀光地	闗心	廣告	光州
관심	闗心	廣告	光州	教科書
광고	廣告	光州	教科書	教師
