광주	光州	教科書	教師	教授
괜찮다	好	粗	有興趣	可愛的
괴로워하다	痛楚	烤	疼愛	畫畫
교과서	教科書	教師	教授	教育
교사	教師	教授	教育	交通
교수	教授	教育	交通	交通費
교육	教育	交通	交通費	交通意外
교통	交通	交通費	交通意外	換貨
교통비	交通費	交通意外	換貨	教會
교통사고	交通意外	換貨	教會	遊玩
교환	換貨	教會	遊玩	皮鞋
교회	教會	遊玩	皮鞋	雲
구경	遊玩	皮鞋	雲	湯
구두	皮鞋	雲	湯	國內
구름	雲	湯	國內	麵
국	湯	國內	麵	國籍
국내	國內	麵	國籍	國際
국수	麵	國籍	國際	軍人
국적	國籍	國際	軍人	耳朵
국제	國際	軍人	耳朵	掛耳環
군인	軍人	耳朵	掛耳環	規則
굳다	堅硬	不會	明亮的	在家
굵다	粗	禁止	劃	爬行
굽다	烤	疼愛	畫畫	停止
궁금하다	有興趣	可愛的	麻煩	就是那樣
권	本	權	雙	隻
귀	耳朵	掛耳環	規則	橘子
귀걸이	掛耳環	規則	橘子	那一天
귀여워하다	疼愛	畫畫	停止	停
귀엽다	可愛的	麻煩	就是那樣	思念
귀찮다	麻煩	就是那樣	思念	性子急的
규칙	規則	橘子	那一天	這段時間
귤	橘子	那一天	這段時間	那時
그날	那一天	這段時間	那時	碗
그냥	就那樣	照原樣	所以	但
그대로	照原樣	所以	但	因為
그동안	這段時間	那時	碗	畫
그때	那時	碗	畫	劇場
그래	好	嗯	這樣啊	是啊
그래서	所以	但	不過	這樣的話
