춤추다	跳舞	拍	準備	找出
춥다	冷	充足	親密	土裡土氣
충분하다	充足	親密	土裡土氣	黑暗
취미	休閒	取消	就職	層
취소	取消	就職	層	牙科
취직	就職	層	牙科	治療
층	層	牙科	治療	裙子
치과	牙科	治療	裙子	牙膏
치다	拍	準備	找出	尋找
치료	治療	裙子	牙膏	雞肉
치마	裙子	牙膏	雞肉	朋友
치약	牙膏	雞肉	朋友	親切
치킨	雞肉	朋友	親切	親戚
친구	朋友	親切	親戚	黑板
친절	親切	親戚	黑板	床
친척	親戚	黑板	床	臥室
친하다	親密	土裡土氣	黑暗	大的
칠판	黑板	床	臥室	牙刷
침대	床	臥室	牙刷	稱讚
침실	臥室	牙刷	稱讚	車道
칫솔	牙刷	稱讚	車道	車輛
칭찬	稱讚	車道	車輛	人行道
카드	卡片	咖哩	相機	咖啡店
카레	咖哩	相機	咖啡店	切
카메라	相機	咖啡店	切	刀削麵
카페	咖啡店	切	刀削麵	加拿大
칼	切	刀削麵	加拿大	咖啡
칼국수	刀削麵	加拿大	咖啡	咖啡館
캐나다	加拿大	咖啡	咖啡館	電腦
커피	咖啡	咖啡館	電腦	杯子
커피숍	咖啡館	電腦	杯子	蛋糕
컴퓨터	電腦	杯子	蛋糕	鼻子
컵	杯子	蛋糕	鼻子	大象
케이크	蛋糕	鼻子	大象	音樂會
켜다	開	拉	養狗	變大
켜다	拉	拉	養狗	變大
켤레	-雙			
코	鼻子	大象	音樂會	可樂
코끼리	大象	音樂會	可樂	鼻涕
콘서트	音樂會	可樂	鼻涕	豆子
