아내	妻子	兒子	下面	上面
아니	不是	嘿	呃	喂（電話用語）
아들	兒子	女兒	下面	兼職工作
아래	下面	上面	兼職工作	什麼
아래쪽	下面	兼職工作	什麼	父親
아르바이트	兼職工作	什麼	父親	母親
아름답다	美	哪裡也	痛	合適
아마	也許	不管再怎麼	很	還
아무	誰也	一些	店舖	家具
아무 데도	哪裡也	痛	合適	弱
아무것	什麼	沒有人	父親	不顧
아무리	不管再怎麼	很	還	再見
아버님	父親	母親	女兒	孩子
아버지	父親	爸爸	孩子	冰淇淋
아빠	爸爸	孩子	冰淇淋	大叔
아이	孩子	天哪	啊哈	哦
아이스크림	冰淇淋	大叔	老太太	大嬸
아저씨	大叔	老太太	大嬸	公寓
아주	很	還	再見	趕快
아주머니	老太太	大嬸	公寓	樂器
아줌마	大嬸	公寓	樂器	內
아직	還	再見	趕快	總是
아파트	公寓	樂器	內	霧
아프다	痛	合適	弱	薄
악기	樂器	內	霧	眼鏡
안	內	也許	不管再怎麼	很
안개	霧	眼鏡	介紹	指示文
안경	眼鏡	介紹	指示文	安全
안내	介紹	指示文	安全	裡面
안내문	指示文	安全	裡面	前
안녕	你好	滿	前	-天
안녕히	再見	趕快	總是	多
안다	抱	不行	知道	告知
안되다	不行	知道	告知	打聽
안전	安全	裡面	前	前面
안쪽	裡面	前	前面	嬰兒
알다	知道	告知	打聽	合
알리다	告知	打聽	合	取
알맞다	合適	弱	薄	暗
알아보다	打聽	合	取	結（冰）
