언니	姐姐	語言	臉	多少錢
언어	語言	臉	多少錢	冰塊
언제	什麼時候	什麼	某	模擬兩可的
언제나	總是	多	還是	用心地
얻다	取	結（冰）	請教	開
얼굴	臉	多少錢	冰塊	媽媽
얼다	結（冰）	請教	開	開著
얼마	多少錢	冰塊	媽媽	屁股
얼마나	多	還是	用心地	很久
얼음	冰塊	媽媽	屁股	冷氣
엄마	媽媽	屁股	冷氣	電梯
없다	沒有	過於	大	-種
엉덩이	屁股	冷氣	電梯	護照
에어컨	冷氣	電梯	護照	這里和那裡
엘리베이터	電梯	護照	這里和那裡	妹妹
여권	護照	這里和那裡	妹妹	女士
여기	這裡	每位	我們	這個
여기저기	這里和那裡	妹妹	女士	女性
여동생	妹妹	女士	女性	女學生
여러	一些	老	這個	沒有
여러분	每位	我們	這個	個人
여보세요	喂（電話用語）	是的	哇	嗯
여성	女士	女性	女學生	旅行
여자	女性	女學生	旅行	旅行社
여쭙다	請教	開	開著	上漲
여학생	女學生	旅行	旅行社	旅行目的地
여행	旅行	旅行社	旅行目的地	車站
여행사	旅行社	旅行目的地	車站	歷史
여행지	旅行目的地	車站	歷史	連結
역	車站	歷史	連結	話劇
역사	歷史	連結	話劇	給聯絡
역시	還是	用心地	很久	完全
연결	連結	話劇	給聯絡	聯絡處
연극	話劇	給聯絡	聯絡處	年末
연락	給聯絡	聯絡處	年末	年紀
연락처	聯絡處	年末	年紀	練習
연말	年末	年紀	練習	藝人
연세	年紀	練習	藝人	鉛筆
연습	練習	藝人	鉛筆	連假
연예인	藝人	鉛筆	連假	燒
