머리를 [감다]	「染」髮
[화장품]을 바르다	塗「化妝品」
얼굴이 [귀엽다]	臉蛋「可愛」
[나이]가 많다	「年紀」很大
몸매가 [날씬하다]	身材「苗條」
아빠를 [닮다]	「像」爸爸
몸매가 [뚱뚱하다]	身材「胖」
옷이 [멋있다] 	衣服「很好看」
[모습]을 보이다	現「身」（行蹤）
웃는 [모습]	笑起來的「樣子」
얼굴이 [못생기다]	長的「不好看」
모습이 [아름답다]	樣子「很美」
나이가 [어리다]	年紀「很小」
[연세]가 드시다	上了「年紀」
얼굴이 [예쁘다]	臉蛋「漂亮」
나이가 [젊다]	年紀「很輕」
몸이 [튼튼하다]	身「強」
[단발머리]로 자르다	剪成「短髮」
[면도]를 하다	刮鬍子
[생머리]를 빗다	梳「直髮」
머리의 [스타일]	髮「型」
[앞머리]를 기르다	留「瀏海」
[염색]을 들이다	染色
[이발]을 하다	去「理髮」
[파마]를 하다	燙髮
[향수]를 뿌리다	灑「香水」
[겉모습]만 보다	只看「外表」
꽃이 [곱다]	花「很美」
옷차림이 [단정하다]	衣冠「楚楚」
[뒷모습]을 보이다	看「背部」
경치가 [멋지다]	風景「很棒」
[못난] 얼굴	「醜陋的」臉
[미인] 대회	「美人」大會（選美比賽）
[생김새]가 예쁘다	「長相」漂亮
옷차림이 [세련되다]	衣服「很時尚」
옷차림이 [야하다]	衣服「很艷麗」
[외모]를 가꾸다	換「外貌」
[인상]이 좋다	「長相」好
몸매가 [통통하다]	身材「胖乎乎的」
외모를 [꾸미다]	「打扮」外貌
머리 [장식]	頭髮「装饰」
