[관심]을 가지다	保持「闗心」
[기르다]	養
나무가 [자라다]	植物「生長」
나라를 [지키다]=보호하다	「保衛」國家
강아지를 [키우다]	「養」狗
[결혼]을 하다	結婚
사람이 [늙다]	人「老」
[사람]이 살다	「人」活著
오래 [살다] 	「住」很久
사람이 [죽다]	人「死」
잘 [지내다]	過得「好」
아이가 [태어나다]	小孩「誕生」
화초를 [가꾸다]	「栽培」花草
[관심사]가 다르다	「關心事」不一樣
아이를 [돌보다]	「照顧」小孩
[무관심]이 지나치다	「漠不關心」經過
세심한 [배려]	細心的「關懷」
아이들을 [보살피다]	「照顧」小孩
생태계 [보전]	生態界「保護」
[보호]를 받다	接受「保護」
[사춘기]를 맞다	迎來「青春期」
[쌍둥이]를 키우다	養「雙胞胎」
야외 [결혼식장]	野外「結婚禮堂」
[구세대]:신세대	「舊世代」：新世代
목숨을 [구하다]	「挽救」生命
[국제결혼] 부부	「國際結婚」夫婦
결혼 [기념]	結婚「紀念」
[기념일]을 축하하다	慶祝「紀念日」
[기념품]을 받다	收到「紀念品」
[기혼] 여성	「既婚」女性
아기를 [낳다]	「生」小孩
생명을 [되살리다]	生命「復活」
입맛이 [되살아나다]	「恢復」胃口
나이가 [많아지다]	年紀「增長」
손에 물을 [묻히다]	手上「沾」水
땅에 [묻히다]	「埋在」地下
[사망] 소식	「死亡」消息
목숨을 [살리다]	救「命」
겨우 [살아나다]	苟延殘喘
전쟁에서 [살아남다]	在戰爭中「存活」
[생년월일]을 기록하다	記錄「出生日期」
[생명]을 건지다	拯救「生命」
[세대]가 다르다	「時代」不同
[세대]가 줄다	「家戶」減少
어린  [소녀]	小「姑娘」
[수명]이 길다	「壽命」長
사고로 [숨지다]	在事故中「喪生」
[신세대] 문화	「新一代」文化
[여가]를 즐기다	享受「閒暇」
[이혼] 서류	「離婚」文件
[인생]을 바치다	獻上「人生」
[인연]을 맺다	結「姻緣」
서울 [일대]	首都「一帶」
[일생]을 살다	活「一生」
몸이 [자라나다]	身體「長大」
[자살]을 시도하다	試圖「自殺」
[장수] 마을 	「長壽」村
[젊음]을 유지하다	維持「青春」
[제사]를 지내다	舉行「祭祀」
[죽음]을 맞다	迎接「死亡」
쥐를 [죽이다]	「殺」老鼠
[출산] 예정일	「生產」預定日
재능을 [타고나다]	[先天的」技能
아이의  [탄생]	小孩的「誕生」
[평생]을 보내다	過「平生」
