[두통]을 앓다	患「頭痛」
국물이 [뜨겁다]	湯「很燙」
눈길에 [미끄러지다]	雪地「很滑」
국이 [식다]	湯「冷了」
다리가 [아프다]	腳「痛」
할아버지께서 [편찮다]	爺爺「不舒服」
[가슴]	胸部
[고개]를 들다	抬頭
배가 [고프다]	肚子「餓」
[귀]로 듣다	用「耳朵」聽
수염이 [나다]	「長」鬍子
[눈]이 작다	「眼睛」很小
[눈물]이 흐르다	流「眼淚」
[다리]가 길다	「腿」很長
[등]	背
[땀]이 나다	流「汗」
[머리]가 크다	「頭」很大
[머리카락]을 자르다	剪「頭髮」
[목]이 길다	「脖子」很長
[목소리]가 크다	「聲音」很大
[몸]이 건강하다	「身體」很健康
[무릎]	膝蓋
[발]이 크다	「腳」很大
[발가락]	腳趾
[발바닥]	腳底
[배]	肚子
배가 [부르다]	肚子「飽」
[살]이 찌다	長「肉」
[손]	手
[손가락]	手指
[손바닥]	手掌
[어깨]	肩膀
[얼굴]	臉
[엉덩이]	屁股
[오른손]:왼손	右手
[왼손]:오른손	左手
[이]를 닦다	刷「牙」
[이마]	額頭
[입]을 열다	張「口」
[입술]	嘴唇
[재채기]가 나오다	打噴嚏
살이 [찌다]	「長」肉
[코]가 높다	「鼻子」很高（驕傲）
[콧물]이 나오다	流「鼻涕」
[키]가 큰 사람	「個子」高的人
[팔]	手臂
[피]를 흘리다	流「血」
[허리]	腰部
[혀]	舌頭
몸이 [가렵다]	身體「癢」
눈이 [간지럽다]	眼睛「癢」
[갈증]이 나다	覺得「口渴」
[감각]이 없다	沒有「感覺」
[두통약]을 복용하다	服用「頭痛藥」
[멀미]가 나다	發生「暈船」
[배고프고] 목마르다	「餓」又渴
[불쾌]를 느끼다	感到「不適」
몸이 [쑤시다]	渾身「酸痛」
육신의 [아픔]	肉體的「疼痛」
머리가 [어지럽다]	頭「暈」
피부에  [자극]이 되다	給皮膚「刺激」
[졸음]이 쏟아지다	「睏」得不得了
잠자리가 [포근하다]	床舖「很柔軟」
[간]	肝
[근육]이 발달하다	「肌肉」發達
[기운]이 없다	沒「力氣」
[뇌] 세포	「腦」細胞
[눈가]에 바르다	抹在「眼角」
[눈동자]가 크다	「瞳孔」大
따뜻한 [눈빛]	溫柔的「目光」
[눈썹]을 그리다	畫「眉」
[눈앞]에 보이다	看到「眼前」
[담] 날	隔天
불에 [데다]	被火「燙傷」
[두뇌] 발달	「大腦」發達
[똥]을 싸다	拉「大便」
[마디]가 굵다	「關節」粗
[맨발]로 걷다	「赤腳」走
[머리칼]을 자르다	剪「頭髮」
[머릿속]에 남아 있다	留在「腦海裡」
팔다리가 [멀쩡하다]	四肢「健全」
[목구멍]이 아프다	「喉嚨」痛
덥고 [목마르다]	又熱又「渴」
[몸매]가 좋다	「身體」好
[몸무게]를 재다	秤「重量」
[몸속]의 피	「身體」內的血
[몸통]이 크다	「身軀」大
[발꿈치]를 들다	跕「腳跟」
[발끝]으로 서다	用「腳尖」站
[발달]이 빠르다	「發育」快
[발등]을 다치다	「腳背」受傷
[발목]을 다치다	「腳踝」受傷
[발자국]을 남기다	留下「腳印」
[발톱]을 깎다	剪「趾甲」
[배꼽]을 잡다	好笑
[볼]이 통통하다	「面頰」豐滿
[뺨]을 때리다	打「耳光」
[뼈]가 굵다	「骨頭」粗
[소변]이 마렵다	想「小便」
[소화]를 돕다	幫助「消化」
[속눈썹]이 길다	「睫毛」長
[손끝]에 닿다	觸及「指尖」
[손등]으로 닦다	用「手背」擦
[손목]에 시계를 차다	在「手腕」戴錶
[손발]이 저리다	「手腳」發麻
[손뼉]을 치다	拍手
[손톱]을 깎다	剪「指甲」
[숨]을 쉬다	呼吸
[숨소리]가 고르다	「呼吸」平穩
[시선]이 마주치다	「視線」對到
[신경]을 다치다	傷了「神經」
[신체]가 튼튼하다	「身體」結實
[신체적] 기능	「身體的」機能
[심장]이 뛰다	「心臓」怦怦跳
[악몽]을 꾸다	做「惡夢」
[여드름]이 나다	長「粉刺」
[영혼]이 되다	變成「靈魂」
[오른발]을 쓰다	使用「右腳」
[온몸]이 아프다	「全身」痛
[왼발]을 쓰다	使用「左腳」
건강한 [육체]	健康的「身體」
[육체적] 피로	「肉體的」疲勞
[인체]를 해부하다	解剖「人體」
[장애인] 복지	「障礙人」福利
아들이 [장하다]	兒子「壯」
[점]을 찍다	點「小點兒」
[젖]을 먹이다	餵「母奶」
[종아리]가 굵다	「小腿」粗
[주름]이 생기다	長「皺紋」
[주먹]을 쥐다	握「拳頭」
[침]을 뱉다	吐「口水」
[콧노래]를 부르다	「用鼻子哼歌」
[쿨쿨] 자다	打鼾
[턱]에 수염이 나다	「下巴」長鬍子
[털]이 빠지다	掉「毛」
[팔꿈치]를 펴다	「手肘」彎
[품]이 넉넉하다	「幅度」寛
[피부]가 부드럽다	「皮膚」柔軟
[하품]이 나오다	打哈欠
[하하] 웃다	哈哈「笑」
[허벅지]	大腿
[허허] 웃다	「哈哈」笑
[호르몬]이 분비되다	「荷爾蒙」分泌
[호흡]이 멎다	「呼吸」停止
