사정이 [급하다]	情況「緊急」
사람이 [부지런하다]	人「很勤勞」
사람이 [게으르다]	人是「懶惰的」
집이 [조용하다] 	家裡「很安靜」
[활발히] 활동하다	「活耀地」活動
마음이 [착하다]	心地「好」
[꼼꼼하게] 살펴보다 	「仔細」查看
[꼼꼼히] 살피다	「仔細」觀察
[무책임]을 비난하다	指責「不負責任」
태도가 [진지하다]	態度「很認真」
[책임감]이 강하다	「責任感」強
군인이 [용감하다]	軍人是「勇敢的」
[내성적] 성격	「內向的」性格
[사교적] 성격	「社交的」性格
[소극적] 성격	「消極的」性格
[수동적] 자세	「被動的」姿勢
[유머]가 있다	有「幽默」
[적극] 검토하다	「積極地」檢討
[적극적] 태도	「積極的」態度
말투가 [점잖다]	談吐「很文雅」
교류가 [활발하다]	交流「很活躍」
성격이 [변덕스럽다]	個性「任性」
사람이 [순하다]	人很「溫順」
성품이 [원만하다]	為人「很隨和」
태도가 [가만하다]	態度「傲慢」
[겸손]의 말	「謙虛」的話（敬語）
불[성실]	不「誠實」
성격이 [솔직하다]	性格「誠實」
[솔직히] 말하다	「老實」說
마음이 [순수하다]	內心「純真」
어린아이처럼 [순진하다]	像小孩般「純真」
[이기적] 성격	「自私的」個性
[정직]을 추구하다	追求「正直」
서울 [출신]	首爾「出身」
[개성]이 강하다	「個性」很強
[고집]을 부리다	「固執」己見
[공손한] 태도	「恭敬的」態度
[긍정적] 태도	「積極的」態度
조건이 [까다롭다]	條件「苛刻」
성격이 [냉정하다]	性格「冷靜」
마음이 [너그럽다]	心情「寬容」
마음이 [느긋하다]	心情「輕鬆」
마음이 [든든하다]	心裡「踏實」
[마음씨]가 곱다	「心地」美
[모험]을 즐기다	喜歡「冒險」
예의가 [바르다]	儀態「端正」
[불친절]	不親切
[신중]을 기하다	求「慎重」
[씩씩한] 사람	「勇敢的」人
[얌전]을 떨다	裝「斯文」
[엄격] 적용	「嚴格」適用
분위기가 [엄숙하다]	氣氛「莊嚴」
대답이 [엉뚱하다]	對答「不合體」
머리가 [영리하다]	頭腦「聰明」
[용기]를 내다	拿出「勇氣」
생각이 [유치하다]	思想「幼稚」
[인격]을 존중하다	尊重「人格」
[자부심]을 느끼다	感到「自負」
[자신]이 있다	有「自信」
[자신감]이 넘치다	「自信感」滿滿
말이 [조심스럽다]	「當心」說話
[특성]을 살리다	保持「特性」
[활기]를 띠다	帶上「活力」
