copy/Xerox/xerox	拷貝;抄襲	角落	昂貴的;代價高的	棉花
corner	角落	昂貴的;代價高的	棉花	咳嗽
costly	昂貴的;代價高的	棉花	咳嗽	鄉間
cotton	棉花	咳嗽	鄉間	郡
cough	咳嗽	鄉間	郡	一對
countryside	鄉間	郡	一對	勇氣
county	郡	一對	勇氣	向...獻殷勤;追求;引誘;求婚
couple	一對	勇氣	向...獻殷勤;追求;引誘;求婚	表(堂)兄弟姊妹
courage	勇氣	向...獻殷勤;追求;引誘;求婚	表(堂)兄弟姊妹	螃蟹
court	向...獻殷勤;追求;引誘;求婚	表(堂)兄弟姊妹	螃蟹	鶴
cousin	表(堂)兄弟姊妹	螃蟹	鶴	蠟筆
crab	螃蟹	鶴	蠟筆	瘋狂的
crane	鶴	蠟筆	瘋狂的	奶油
crayon	蠟筆	瘋狂的	奶油	創造
crazy	瘋狂的	奶油	創造	犯罪
cream	奶油	創造	犯罪	危機;緊急關頭
create	創造	犯罪	危機;緊急關頭	收成
crime	犯罪	危機;緊急關頭	收成	越過;渡過
crisis	危機;緊急關頭	收成	越過;渡過	烏鴉
crop	收成	越過;渡過	烏鴉	擠滿;聚集
cross	越過;渡過	烏鴉	擠滿;聚集	殘酷的
crow 	烏鴉	擠滿;聚集	殘酷的	文化
crowd	擠滿;聚集	殘酷的	文化	治癒
cruel	殘酷的	文化	治癒	好奇的
culture	文化	治癒	好奇的	窗簾
cure	治癒	好奇的	窗簾	習俗
curious	好奇的	窗簾	習俗	顧客
curtain/drape	窗簾	習俗	顧客	每日的
custom	習俗	顧客	每日的	損害
customer	顧客	每日的	損害	危險的
daily	每日的	損害	危險的	資料,數據
damage	損害	危險的	資料,數據	凌晨
dangerous	危險的	資料,數據	凌晨	聾的
data	資料,數據	凌晨	聾的	辯論
dawn	凌晨	聾的	辯論	債,借款
deaf	聾的	辯論	債,借款	決定
debate	辯論	債,借款	決定	佈置
debt	債,借款	決定	佈置	程度
decision	決定	佈置	程度	延緩;使延期
decorate	佈置	程度	延緩;使延期	好吃的
