pray	禱告	更喜歡	出席,在場	現在
prefer	更喜歡	出席,在場	現在	校長
presence	出席,在場	現在	校長	按
present 	現在	校長	按	使得意,以...自豪
president	校長	按	使得意,以...自豪	王子
press 	按	使得意,以...自豪	王子	公主
pride	使得意,以...自豪	王子	公主	主要的
prince	王子	公主	主要的	主義;真諦
princess	公主	主要的	主義;真諦	印表機;印刷業者
principal 	主要的	主義;真諦	印表機;印刷業者	監獄
principle	主義;真諦	印表機;印刷業者	監獄	囚犯;俘虜
printer	印表機;印刷業者	監獄	囚犯;俘虜	私人的
prison	監獄	囚犯;俘虜	私人的	獎品
prisoner	囚犯;俘虜	私人的	獎品	製造;出產
private	私人的	獎品	製造;出產	生產者,製造者製片人
prize	獎品	製造;出產	生產者,製造者製片人	前進;進行;上進,提高,進步
produce	製造;出產	生產者,製造者製片人	前進;進行;上進,提高,進步	項目
producer	生產者,製造者製片人	前進;進行;上進,提高,進步	項目	答應
progress	前進;進行;上進,提高,進步	項目	答應	發...音
project 	項目	答應	發...音	提議
promise	答應	發...音	提議	保護
pronounce	發...音	提議	保護	感光榮的;驕傲的
propose	提議	保護	感光榮的;驕傲的	供應-給予他人所需的東西
protect	保護	感光榮的;驕傲的	供應-給予他人所需的東西	布丁
proud	感光榮的;驕傲的	供應-給予他人所需的東西	布丁	跳動
provide	供應-給予他人所需的東西	布丁	跳動	南瓜
pudding	布丁	跳動	南瓜	處罰
pump	跳動	南瓜	處罰	學生
pumpkin	南瓜	處罰	學生	木偶
punish	處罰	學生	木偶	小狗
pupil	學生	木偶	小狗	錢包
puppet	木偶	小狗	錢包	使迷惑
puppy	小狗	錢包	使迷惑	品質
purse	錢包	使迷惑	品質	量
puzzle	使迷惑	品質	量	把...四等分
quality	品質	量	把...四等分	放棄;離職
quantity	量	把...四等分	放棄;離職	小考
quarter	把...四等分	放棄;離職	小考	兔子
quit	放棄;離職	小考	兔子	下雨的;多雨的
quiz	小考	兔子	下雨的;多雨的	排列
