phrase	用言語表達,用(詞)	採收;撿起;選	去野餐,參加野餐;在戶外用餐	鴿子
pick	採收;撿起;選	去野餐,參加野餐;在戶外用餐	鴿子	堆起
picnic	去野餐,參加野餐;在戶外用餐	鴿子	堆起	枕頭
pigeon	鴿子	堆起	枕頭	釘住;壓住;按住;把...歸罪於
pile	堆起	枕頭	釘住;壓住;按住;把...歸罪於	鳳梨
pillow	枕頭	釘住;壓住;按住;把...歸罪於	鳳梨	乒乓球,桌球
pin	釘住;壓住;按住;把...歸罪於	鳳梨	乒乓球,桌球	粉紅色
pineapple	鳳梨	乒乓球,桌球	粉紅色	用管道輸送;吹奏管樂;尖聲叫嚷
ping-pong/table tennis	乒乓球,桌球	粉紅色	用管道輸送;吹奏管樂;尖聲叫嚷	搭(帳篷);紮(營)
pink	粉紅色	用管道輸送;吹奏管樂;尖聲叫嚷	搭(帳篷);紮(營)	披薩
pipe	用管道輸送;吹奏管樂;尖聲叫嚷	搭(帳篷);紮(營)	披薩	清楚的
pitch	搭(帳篷);紮(營)	披薩	清楚的	行星
pizza	披薩	清楚的	行星	碟子
plain 	清楚的	行星	碟子	月台
planet	行星	碟子	月台	愛玩耍的;開玩笑的
plate	碟子	月台	愛玩耍的;開玩笑的	愉快的;美好的
platform	月台	愛玩耍的;開玩笑的	愉快的;美好的	愉快
playful	愛玩耍的;開玩笑的	愉快的;美好的	愉快	正的;外加的;有益的;陽性的;正電的
pleasant	愉快的;美好的	愉快	正的;外加的;有益的;陽性的;正電的	詩
pleasure	愉快	正的;外加的;有益的;陽性的;正電的	詩	詩人
plus	正的;外加的;有益的;陽性的;正電的	詩	詩人	放毒,下毒
poem	詩	詩人	放毒,下毒	政策;策略
poet	詩人	放毒,下毒	政策;策略	有禮貌的
poison	放毒,下毒	政策;策略	有禮貌的	流行的;受歡迎的
policy	政策;策略	有禮貌的	流行的;受歡迎的	人口
polite	有禮貌的	流行的;受歡迎的	人口	豬肉
popular	流行的;受歡迎的	人口	豬肉	港
population	人口	豬肉	港	擺姿勢
pork	豬肉	港	擺姿勢	正面的;確信的
port	港	擺姿勢	正面的;確信的	可能性
pose	擺姿勢	正面的;確信的	可能性	郵政
positive	正面的;確信的	可能性	郵政	明信片
possibility	可能性	郵政	明信片	鍋子
post 	郵政	明信片	鍋子	馬鈴薯
postcard	明信片	鍋子	馬鈴薯	磅
pot	鍋子	馬鈴薯	磅	強有力的
potato	馬鈴薯	磅	強有力的	讚美
pound 	磅	強有力的	讚美	禱告
powerful	強有力的	讚美	禱告	更喜歡
praise	讚美	禱告	更喜歡	出席,在場
