fisherman	漁夫	適合的;恰當的;相稱的;能勝任的	修理	打旗號表示;衰退,低落
fit	適合的;恰當的;相稱的;能勝任的	修理	打旗號表示;衰退,低落	使閃光;使閃爍
fix	修理	打旗號表示;衰退,低落	使閃光;使閃爍	手電筒
flag	打旗號表示;衰退,低落	使閃光;使閃爍	手電筒	平的
flash	使閃光;使閃爍	手電筒	平的	飛行
flashlight/flash	手電筒	平的	飛行	淹沒;使泛濫
flat	平的	飛行	淹沒;使泛濫	麵粉
flight	飛行	淹沒;使泛濫	麵粉	流動
flood	淹沒;使泛濫	麵粉	流動	流行性感冒
flour	麵粉	流動	流行性感冒	長笛
flow	流動	流行性感冒	長笛	集中
flu	流行性感冒	長笛	集中	有霧的
flute	長笛	集中	有霧的	接著的
focus	集中	有霧的	接著的	傻子
foggy	有霧的	接著的	傻子	愚蠢的
following	接著的	傻子	愚蠢的	美式足球
fool 	傻子	愚蠢的	美式足球	外國人
foolish	愚蠢的	美式足球	外國人	原諒
football	美式足球	外國人	原諒	形態;表格
foreigner	外國人	原諒	形態;表格	正式的
forgive 	原諒	形態;表格	正式的	前者
form	形態;表格	正式的	前者	前面的
formal	正式的	前者	前面的	前面的
former	前者	前面的	前面的	狐狸
forward	前面的	前面的	狐狸	坦白的
forward	前面的	狐狸	坦白的	自由
fox	狐狸	坦白的	自由	冷凍庫
frank	坦白的	自由	冷凍庫	友善的
freedom	自由	冷凍庫	友善的	驚嚇,恐怖
freezer	冷凍庫	友善的	驚嚇,恐怖	害怕;吃驚
friendly	友善的	驚嚇,恐怖	害怕;吃驚	起作用
fright	驚嚇,恐怖	害怕;吃驚	起作用	較遠的;另外的
frighten	害怕;吃驚	起作用	較遠的;另外的	未來的
function	起作用	較遠的;另外的	未來的	得到;增進
further	較遠的;另外的	未來的	得到;增進	車庫
future	未來的	得到;增進	車庫	垃圾
gain	得到;增進	車庫	垃圾	園丁;花匠
garage	車庫	垃圾	園丁;花匠	柵門
garbage	垃圾	園丁;花匠	柵門	集合
gardener	園丁;花匠	柵門	集合	普遍的
