double	雙重的	懷疑	油炸圈餅	商業區的
doubt	懷疑	油炸圈餅	商業區的	博士
doughnut	油炸圈餅	商業區的	博士	拉,拖
downtown	商業區的	博士	拉,拖	龍
Dr.	博士	拉,拖	龍	蜻蜓
drag	拉,拖	龍	蜻蜓	戲劇
dragon	龍	蜻蜓	戲劇	抽屜
dragonfly	蜻蜓	戲劇	抽屜	描繪,素描;製圖;抽籤;提款
drama	戲劇	抽屜	描繪,素描;製圖;抽籤;提款	穿著
drawer	抽屜	描繪,素描;製圖;抽籤;提款	穿著	(使)滴落;丟下
drawing	描繪,素描;製圖;抽籤;提款	穿著	(使)滴落;丟下	使服麻醉藥;使服毒品
dress	穿著	(使)滴落;丟下	使服麻醉藥;使服毒品	(常兼售雜貨的)藥房
drop	(使)滴落;丟下	使服麻醉藥;使服毒品	(常兼售雜貨的)藥房	打鼓;咚咚地敲
drug	使服麻醉藥;使服毒品	(常兼售雜貨的)藥房	打鼓;咚咚地敲	烘衣機
drugstore	(常兼售雜貨的)藥房	打鼓;咚咚地敲	烘衣機	無光澤的
drum	打鼓;咚咚地敲	烘衣機	無光澤的	啞的
dryer	烘衣機	無光澤的	啞的	餃子
dull	無光澤的	啞的	餃子	職務
dumb	啞的	餃子	職務	賺到
dumpling	餃子	職務	賺到	地震
duty	職務	賺到	地震	東方的
earn	賺到	地震	東方的	教育
earthquake	地震	東方的	教育	造成;招致
eastern	東方的	教育	造成;招致	有效的
education	教育	造成;招致	有效的	努力
effect	造成;招致	有效的	努力	年紀較長的
effective	有效的	努力	年紀較長的	選定的,當選的
effort	努力	年紀較長的	選定的,當選的	要素,成分
elder	年紀較長的	選定的,當選的	要素,成分	電梯
elect	選定的,當選的	要素,成分	電梯	情緒
element	要素,成分	電梯	情緒	鼓勵;助長
elevator	電梯	情緒	鼓勵;助長	結局,結尾;終結;字尾
emotion	情緒	鼓勵;助長	結局,結尾;終結;字尾	敵人
encourage	鼓勵;助長	結局,結尾;終結;字尾	敵人	精力;能量
ending	結局,結尾;終結;字尾	敵人	精力;能量	喜歡;享受
enemy	敵人	精力;能量	喜歡;享受	全部的,整個的
energy	精力;能量	喜歡;享受	全部的,整個的	入口
enjoy	喜歡;享受	全部的,整個的	入口	信封
entire	全部的,整個的	入口	信封	環境
entrance	入口	信封	環境	橡皮擦
