cafeteria	自助餐館	日曆;月曆;行事曆	寧靜的	取消
calendar	日曆;月曆;行事曆	寧靜的	取消	癌症
calm 	寧靜的	取消	癌症	蠟燭
cancel	取消	癌症	蠟燭	隊長;機長;艦長
cancer	癌症	蠟燭	隊長;機長;艦長	地毯
candle	蠟燭	隊長;機長;艦長	地毯	紅蘿蔔
captain	隊長;機長;艦長	地毯	紅蘿蔔	用運貨車裝運
carpet	地毯	紅蘿蔔	用運貨車裝運	畫漫畫;畫草圖
carrot	紅蘿蔔	用運貨車裝運	畫漫畫;畫草圖	兌現
cart	用運貨車裝運	畫漫畫;畫草圖	兌現	卡式磁帶
cartoon	畫漫畫;畫草圖	兌現	卡式磁帶	城堡
cash	兌現	卡式磁帶	城堡	塌落,倒坍
cassette	卡式磁帶	城堡	塌落,倒坍	天花板
castle	城堡	塌落,倒坍	天花板	單人牢房;細胞;蜂房的巢室
cave	塌落,倒坍	天花板	單人牢房;細胞;蜂房的巢室	中央的
ceiling	天花板	單人牢房;細胞;蜂房的巢室	中央的	一世紀
cell	單人牢房;細胞;蜂房的巢室	中央的	一世紀	麥片
central	中央的	一世紀	麥片	粉筆
century	一世紀	麥片	粉筆	改變
cereal	麥片	粉筆	改變	個性
chalk	粉筆	改變	個性	索價;充電
change 	改變	個性	索價;充電	便宜的
character	個性	索價;充電	便宜的	欺騙;作弊
charge	索價;充電	便宜的	欺騙;作弊	化學的
cheap	便宜的	欺騙;作弊	化學的	西洋棋
cheat	欺騙;作弊	化學的	西洋棋	幼稚的
chemical	化學的	西洋棋	幼稚的	天真爛漫的
chess	西洋棋	幼稚的	天真爛漫的	下巴
childish	幼稚的	天真爛漫的	下巴	巧克力
childlike	天真爛漫的	下巴	巧克力	上等的,精選的;挑三揀四的
chin	下巴	巧克力	上等的,精選的;挑三揀四的	選擇;挑選
chocolate	巧克力	上等的,精選的;挑三揀四的	選擇;挑選	筷子
choice	上等的,精選的;挑三揀四的	選擇;挑選	筷子	圓
choose	選擇;挑選	筷子	圓	市民
chopstick	筷子	圓	市民	聲稱
circle	圓	市民	聲稱	拍
citizen	市民	聲稱	拍	典型的;古典的
claim	聲稱	拍	典型的;古典的	用爪子抓
clap	拍	典型的;古典的	用爪子抓	黏土
classic	典型的;古典的	用爪子抓	黏土	清潔工;乾洗店;吸塵器;清潔劑
