oven	烤箱	天橋,高架道路	國外的	貓頭鷹
overpass	天橋,高架道路	國外的	貓頭鷹	物主
overseas	國外的	貓頭鷹	物主	公牛
owl	貓頭鷹	物主	公牛	包裝
owner	物主	公牛	包裝	把...打包;包裝
ox	公牛	包裝	把...打包;包裝	使煩惱,使痛苦;使疼痛
pack	包裝	把...打包;包裝	使煩惱,使痛苦;使疼痛	痛的
package	把...打包;包裝	使煩惱,使痛苦;使疼痛	痛的	油漆匠;畫家
pain	使煩惱,使痛苦;使疼痛	痛的	油漆匠;畫家	油畫,水彩畫
painful	痛的	油漆匠;畫家	油畫,水彩畫	睡衣
painter	油漆匠;畫家	油畫,水彩畫	睡衣	手掌
painting	油畫,水彩畫	睡衣	手掌	平鍋
pajamas	睡衣	手掌	平鍋	貓熊
palm	手掌	平鍋	貓熊	木瓜
pan	平鍋	貓熊	木瓜	寬恕
panda	貓熊	木瓜	寬恕	鸚鵡
papaya	木瓜	寬恕	鸚鵡	特殊的;
pardon	寬恕	鸚鵡	特殊的;	夥伴
parrot	鸚鵡	特殊的;	夥伴	乘客
particular	特殊的;	夥伴	乘客	黏貼
partner	夥伴	乘客	黏貼	拍
passenger	乘客	黏貼	拍	小徑
paste	黏貼	拍	小徑	病人
pat	拍	小徑	病人	形式
path	小徑	病人	形式	和平
patient 	病人	形式	和平	寧靜的;和平的
pattern	形式	和平	寧靜的;和平的	桃子
peace	和平	寧靜的;和平的	桃子	花生
peaceful	寧靜的;和平的	桃子	花生	梨子
peach	桃子	花生	梨子	企鵝
peanut	花生	梨子	企鵝	胡椒粉
pear	梨子	企鵝	胡椒粉	經,由;每;按照
penguin	企鵝	胡椒粉	經,由;每;按照	完美的
pepper	胡椒粉	經,由;每;按照	完美的	一段時間
per	經,由;每;按照	完美的	一段時間	個人的
perfect	完美的	一段時間	個人的	拍照
period	一段時間	個人的	拍照	攝影師,照相師
personal	個人的	拍照	攝影師,照相師	用言語表達,用(詞)
photograph/photo	拍照	攝影師,照相師	用言語表達,用(詞)	採收;撿起;選
photographer	攝影師,照相師	用言語表達,用(詞)	採收;撿起;選	去野餐,參加野餐;在戶外用餐
