height	高度	有益的	母雞	英雄
helpful	有益的	母雞	英雄	躲;隱藏
hen	母雞	英雄	躲;隱藏	公路;幹道
hero/heroine	英雄	躲;隱藏	公路;幹道	臀部
hide	躲;隱藏	公路;幹道	臀部	河馬
highway	公路;幹道	臀部	河馬	雇用
hip	臀部	河馬	雇用	嗜好
hippopotamus/hippo	河馬	雇用	嗜好	持有者
hire	雇用	嗜好	持有者	想家的
hobby	嗜好	持有者	想家的	誠實的
holder	持有者	想家的	誠實的	蜂蜜
homesick	想家的	誠實的	蜂蜜	單腳跳
honest	誠實的	蜂蜜	單腳跳	醫院
honey	蜂蜜	單腳跳	醫院	主人
hop	單腳跳	醫院	主人	旅館
hospital	醫院	主人	旅館	然而
host 	主人	旅館	然而	哼曲子
hotel	旅館	然而	哼曲子	謙恭的;微賤的
however	然而	哼曲子	謙恭的;微賤的	潮濕的
hum	哼曲子	謙恭的;微賤的	潮濕的	幽默
humble	謙恭的;微賤的	潮濕的	幽默	饑餓
humid	潮濕的	幽默	饑餓	追獵
humor	幽默	饑餓	追獵	獵人
hunger	饑餓	追獵	獵人	趕快
hunt	追獵	獵人	趕快	不理睬
hunter	獵人	趕快	不理睬	生病的
hurry	趕快	不理睬	生病的	想像
ignore	不理睬	生病的	想像	重要性
ill	生病的	想像	重要性	改善
imagine	想像	重要性	改善	包含
importance	重要性	改善	包含	收入
improve	改善	包含	收入	增加
include	包含	收入	增加	獨立;自主;自立
income	收入	增加	獨立;自主;自立	獨立的
increase	增加	獨立;自主;自立	獨立的	指出
independence	獨立;自主;自立	獨立的	指出	企業;行業
independent	獨立的	指出	企業;行業	影響,感化;左右
indicate	指出	企業;行業	影響,感化;左右	用墨水寫;簽署;簽訂(合同等)
industry	企業;行業	影響,感化;左右	用墨水寫;簽署;簽訂(合同等)	昆蟲
influence	影響,感化;左右	用墨水寫;簽署;簽訂(合同等)	昆蟲	堅持
