naked	裸體的	餐巾	窄的	國家的
napkin	餐巾	窄的	國家的	天然的
narrow	窄的	國家的	天然的	頑皮的
national	國家的	天然的	頑皮的	附近的
natural	天然的	頑皮的	附近的	幾乎,差不多;密切地,親密地
naughty	頑皮的	附近的	幾乎,差不多;密切地,親密地	整潔的;整齊的
nearby	附近的	幾乎,差不多;密切地,親密地	整潔的;整齊的	需要的
nearly	幾乎,差不多;密切地,親密地	整潔的;整齊的	需要的	項鍊
neat	整潔的;整齊的	需要的	項鍊	針
necessary	需要的	項鍊	針	否定的;負面的
necklace	項鍊	針	否定的;負面的	鄰居
needle	針	否定的;負面的	鄰居	兩者都不
negative	否定的;負面的	鄰居	兩者都不	侄子;外甥
neighbor	鄰居	兩者都不	侄子;外甥	築巢;巢居;伏窩
neither	兩者都不	侄子;外甥	築巢;巢居;伏窩	用網捕;使淨賺
nephew	侄子;外甥	築巢;巢居;伏窩	用網捕;使淨賺	侄女;外甥女
nest	築巢;巢居;伏窩	用網捕;使淨賺	侄女;外甥女	沒有人
net	用網捕;使淨賺	侄女;外甥女	沒有人	點頭
niece	侄女;外甥女	沒有人	點頭	沒有任何事物
nobody	沒有人	點頭	沒有任何事物	麵
nod	點頭	沒有任何事物	麵	北方的
none	沒有任何事物	麵	北方的	筆記本
noodle	麵	北方的	筆記本	小說
northern	北方的	筆記本	小說	核果
notebook	筆記本	小說	核果	服從
novel 	小說	核果	服從	目的
nut	核果	服從	目的	發生;出現
obey	服從	目的	發生;出現	提供,提議
object 	目的	發生;出現	提供,提議	官方的
occur	發生;出現	提供,提議	官方的	略過
offer	提供,提議	官方的	略過	洋蔥
official	官方的	略過	洋蔥	操作
omit	略過	洋蔥	操作	意見
onion	洋蔥	操作	意見	平常的
operate	操作	意見	平常的	器官
opinion	意見	平常的	器官	組織
ordinary	平常的	器官	組織	使有條理;安排
organ	器官	組織	使有條理;安排	烤箱
organization 	組織	使有條理;安排	烤箱	天橋,高架道路
organize	使有條理;安排	烤箱	天橋,高架道路	國外的
