envelope	信封	環境	橡皮擦	錯誤
environment	環境	橡皮擦	錯誤	特別地
eraser	橡皮擦	錯誤	特別地	事件
error	錯誤	特別地	事件	確切的,精確的
especially	特別地	事件	確切的,精確的	非常好的
event	事件	確切的,精確的	非常好的	使興奮;使激動
exact	確切的,精確的	非常好的	使興奮;使激動	原諒
excellent	非常好的	使興奮;使激動	原諒	鍛鍊;操練;練習;運用,行使
excite	使興奮;使激動	原諒	鍛鍊;操練;練習;運用,行使	存在
excuse	原諒	鍛鍊;操練;練習;運用,行使	存在	期待
exercise	鍛鍊;操練;練習;運用,行使	存在	期待	貴的
exist	存在	期待	貴的	經歷;感受
expect	期待	貴的	經歷;感受	熟練的,老練的;專家的
expensive	貴的	經歷;感受	熟練的,老練的;專家的	解釋
experience	經歷;感受	熟練的,老練的;專家的	解釋	快遞的,快運的;明確的
expert	熟練的,老練的;專家的	解釋	快遞的,快運的;明確的	額外的
explain	解釋	快遞的,快運的;明確的	額外的	眉毛
express	快遞的,快運的;明確的	額外的	眉毛	失敗
extra	額外的	眉毛	失敗	失敗
eyebrow/brow	眉毛	失敗	失敗	公平的
fail	失敗	失敗	公平的	著名的
failure	失敗	公平的	著名的	挑...的毛病;產生斷層
fair 	公平的	著名的	挑...的毛病;產生斷層	支持,擁護;有利於
famous	著名的	挑...的毛病;產生斷層	支持,擁護;有利於	最喜愛的
fault	挑...的毛病;產生斷層	支持,擁護;有利於	最喜愛的	可怕的;害怕的
favor	支持,擁護;有利於	最喜愛的	可怕的;害怕的	費用
favorite	最喜愛的	可怕的;害怕的	費用	伙伴;同事
fearful	可怕的;害怕的	費用	伙伴;同事	女性的
fee	費用	伙伴;同事	女性的	籬笆
fellow	伙伴;同事	女性的	籬笆	節日
female	女性的	籬笆	節日	發燒
fence	籬笆	節日	發燒	原野;田賽場地;野外
festival	節日	發燒	原野;田賽場地;野外	戰士,鬥士
fever	發燒	原野;田賽場地;野外	戰士,鬥士	形狀
field	原野;田賽場地;野外	戰士,鬥士	形狀	把...拍成電影;生薄膜
fighter	戰士,鬥士	形狀	把...拍成電影;生薄膜	消防隊員
figure	形狀	把...拍成電影;生薄膜	消防隊員	牢固的
film	把...拍成電影;生薄膜	消防隊員	牢固的	漁夫
fireman/firewoman	消防隊員	牢固的	漁夫	適合的;恰當的;相稱的;能勝任的
firm	牢固的	漁夫	適合的;恰當的;相稱的;能勝任的	修理
