salad	沙拉	有鹽分的;鹹味濃的	試吃	三明治
salty	有鹽分的;鹹味濃的	試吃	三明治	使滿意
sample	試吃	三明治	使滿意	醬油
sandwich	三明治	使滿意	醬油	科學
satisfy	使滿意	醬油	科學	科學家
sauce	醬油	科學	科學家	剪刀
science	科學	科學家	剪刀	得分
scientist	科學家	剪刀	得分	篩選;放映電影
scissors	剪刀	得分	篩選;放映電影	搜尋;搜查
score	得分	篩選;放映電影	搜尋;搜查	神祕的,奧祕的
screen	篩選;放映電影	搜尋;搜查	神祕的,奧祕的	秘書
search	搜尋;搜查	神祕的,奧祕的	秘書	把...分成段(或組等);將...切片
secret	神祕的,奧祕的	秘書	把...分成段(或組等);將...切片	精選的;卓越的
secretary	秘書	把...分成段(或組等);將...切片	精選的;卓越的	選擇;選拔;選集,文選
section	把...分成段(或組等);將...切片	精選的;卓越的	選擇;選拔;選集,文選	學期
select	精選的;卓越的	選擇;選拔;選集,文選	學期	單獨的,個別的
selection	選擇;選拔;選集,文選	學期	單獨的,個別的	認真的
semester	學期	單獨的,個別的	認真的	僕人
separate	單獨的,個別的	認真的	僕人	安放;安頓;解決(問題等)
serious	認真的	僕人	安放;安頓;解決(問題等)	分享
servant	僕人	安放;安頓;解決(問題等)	分享	架子
settle	安放;安頓;解決(問題等)	分享	架子	果殼
share	分享	架子	果殼	使震動
shelf	架子	果殼	使震動	注射;射擊;拍攝
shell	果殼	使震動	注射;射擊;拍攝	短褲
shock	使震動	注射;射擊;拍攝	短褲	淋浴
shoot	注射;射擊;拍攝	短褲	淋浴	蝦子
shorts	短褲	淋浴	蝦子	路邊行人道
shower	淋浴	蝦子	路邊行人道	簽字;做信號
shrimp	蝦子	路邊行人道	簽字;做信號	使沈默;使啞口無言;使安靜
sidewalk	路邊行人道	簽字;做信號	使沈默;使啞口無言;使安靜	寂靜的
sign	簽字;做信號	使沈默;使啞口無言;使安靜	寂靜的	蠶絲,絲;絲織物(品),綢布
silence	使沈默;使啞口無言;使安靜	寂靜的	蠶絲,絲;絲織物(品),綢布	相似的
silent	寂靜的	蠶絲,絲;絲織物(品),綢布	相似的	簡單地,簡易地;簡明地;只不過
silk	蠶絲,絲;絲織物(品),綢布	相似的	簡單地,簡易地;簡明地;只不過	單身的
similar	相似的	簡單地,簡易地;簡明地;只不過	單身的	下沉
simply	簡單地,簡易地;簡明地;只不過	單身的	下沉	有技術的, 熟練的
single	單身的	下沉	有技術的, 熟練的	很瘦的
sink 	下沉	有技術的, 熟練的	很瘦的	繞開,避開
skillful/skilled	有技術的, 熟練的	很瘦的	繞開,避開	想睡的
