steam	蒸	鋼化;給...包上鋼	戳	胃
steel	鋼化;給...包上鋼	戳	胃	暴風雨
stick 	戳	胃	暴風雨	瓦斯爐
stomach	胃	暴風雨	瓦斯爐	直的
storm	暴風雨	瓦斯爐	直的	陌生人
stove	瓦斯爐	直的	陌生人	吸管
straight	直的	陌生人	吸管	草莓
stranger	陌生人	吸管	草莓	河流
straw	吸管	草莓	河流	強調
strawberry	草莓	河流	強調	舒展肢體,伸懶腰
stream	河流	強調	舒展肢體,伸懶腰	嚴謹的,精確的
stress	強調	舒展肢體,伸懶腰	嚴謹的,精確的	打擊
stretch	舒展肢體,伸懶腰	嚴謹的,精確的	打擊	線
strict	嚴謹的,精確的	打擊	線	奮力
strike	打擊	線	奮力	主題;學科
string	線	奮力	主題;學科	減,減去
struggle 	奮力	主題;學科	減,減去	地鐵
subject	主題;學科	減,減去	地鐵	地鐵
subtract	減,減去	地鐵	地鐵	成功
subway	地鐵	地鐵	成功	成功
subway/underground/	地鐵	成功	成功	成功的
succeed	成功	成功	成功的	突然的
success	成功	成功的	突然的	套裝
successful	成功的	突然的	套裝	晴朗的
sudden	突然的	套裝	晴朗的	超級市場
suit 	套裝	晴朗的	超級市場	供給,供應（大量和長期供給）
sunny	晴朗的	超級市場	供給,供應（大量和長期供給）	支持
supermarket	超級市場	供給,供應（大量和長期供給）	支持	顯露,呈現;起床,露面
supply	供給,供應（大量和長期供給）	支持	顯露,呈現;起床,露面	在...之後仍然活著
support	支持	顯露,呈現;起床,露面	在...之後仍然活著	吞
surface	顯露,呈現;起床,露面	在...之後仍然活著	吞	天鵝
survive	在...之後仍然活著	吞	天鵝	毛衣
swallow 	吞	天鵝	毛衣	掃
swan	天鵝	毛衣	掃	鞦韆
sweater	毛衣	掃	鞦韆	符號;象徵
sweep	掃	鞦韆	符號;象徵	才能，天賦
swing	鞦韆	符號;象徵	才能，天賦	健談的
symbol	符號;象徵	才能，天賦	健談的	橘子
talent	才能，天賦	健談的	橘子	油罐車
talkative	健談的	橘子	油罐車	用帶子捆紮;用錄音帶為...錄音(或影)
