match 	相配	使交配	材料,原料	餐
mate	使交配	材料,原料	餐	意義
material 	材料,原料	餐	意義	方法;工具;收入
meal	餐	意義	方法;工具;收入	可測量的;可預見的
meaning	意義	方法;工具;收入	可測量的;可預見的	ment)
means	方法;工具;收入	可測量的;可預見的	ment)	藥
measurable	可測量的;可預見的	ment)	藥	集會
measure 	ment)	藥	集會	旋律;主調
medicine	藥	集會	旋律;主調	瓜,甜瓜
meeting	集會	旋律;主調	瓜,甜瓜	會員
melody	旋律;主調	瓜,甜瓜	會員	記憶
melon	瓜,甜瓜	會員	記憶	菜單
member	會員	記憶	菜單	消息;音信
memory	記憶	菜單	消息;音信	金屬
menu	菜單	消息;音信	金屬	公尺;計量器
message	消息;音信	金屬	公尺;計量器	方法
metal	金屬	公尺;計量器	方法	地下鐵道
meter	公尺;計量器	方法	地下鐵道	軍事的
method	方法	地下鐵道	軍事的	百萬
metro	地下鐵道	軍事的	百萬	礦
military	軍事的	百萬	礦	負的,減去的
million	百萬	礦	負的,減去的	鏡子
mine 	礦	負的,減去的	鏡子	混合
minus	負的,減去的	鏡子	混合	塑像;當模特兒
mirror	鏡子	混合	塑像;當模特兒	現代的
mix	混合	塑像;當模特兒	現代的	怪物
model	塑像;當模特兒	現代的	怪物	蚊子
modern	現代的	怪物	蚊子	蛾;蠹,蛀蟲
monster	怪物	蚊子	蛾;蠹,蛀蟲	移動
mosquito	蚊子	蛾;蠹,蛀蟲	移動	機車
moth	蛾;蠹,蛀蟲	移動	機車	可移動的
motion	移動	機車	可移動的	捷運
motorcycle	機車	可移動的	捷運	騾;固執的人
movable	可移動的	捷運	騾;固執的人	乘,使相乘
MRT/mass rapid transit/	捷運	騾;固執的人	乘,使相乘	博物館
mule	騾;固執的人	乘,使相乘	博物館	音樂家
multiply	乘,使相乘	博物館	音樂家	指甲
museum	博物館	音樂家	指甲	裸體的
musician	音樂家	指甲	裸體的	餐巾
nail 	指甲	裸體的	餐巾	窄的
