ink	用墨水寫;簽署;簽訂(合同等)	昆蟲	堅持	舉...為例;引證
insect	昆蟲	堅持	舉...為例;引證	即時的
insist	堅持	舉...為例;引證	即時的	儀器
instance	舉...為例;引證	即時的	儀器	國際的
instant	即時的	儀器	國際的	面試
instrument	儀器	國際的	面試	介紹
international	國際的	面試	介紹	發明
interview	面試	介紹	發明	邀請
introduce	介紹	發明	邀請	邀請
invent	發明	邀請	邀請	島嶼
invitation	邀請	邀請	島嶼	項目;品目
invite	邀請	島嶼	項目;品目	夾克;外套
island	島嶼	項目;品目	夾克;外套	果醬
item	項目;品目	夾克;外套	果醬	爵士樂
jacket	夾克;外套	果醬	爵士樂	牛仔褲
jam 	果醬	爵士樂	牛仔褲	吉普車
jazz	爵士樂	牛仔褲	吉普車	慢跑
jeans	牛仔褲	吉普車	慢跑	關節
jeep	吉普車	慢跑	關節	法官
jog	慢跑	關節	法官	多汁的
joint	關節	法官	多汁的	番茄醬
judge 	法官	多汁的	番茄醬	幼稚園
juicy	多汁的	番茄醬	幼稚園	王國
ketchup/catsup	番茄醬	幼稚園	王國	敲
kindergarten	幼稚園	王國	敲	學問;知識
kingdom	王國	敲	學問;知識	無尾熊
knock	敲	學問;知識	無尾熊	瓢蟲
knowledge	學問;知識	無尾熊	瓢蟲	巷,弄;車道
koala	無尾熊	瓢蟲	巷,弄;車道	語言
ladybug/ladybird 	瓢蟲	巷,弄;車道	語言	燈籠
lane	巷,弄;車道	語言	燈籠	大腿部
language	語言	燈籠	大腿部	最新的
lantern	燈籠	大腿部	最新的	律師
lap	大腿部	最新的	律師	領導才能
latest	最新的	律師	領導才能	合法的
lawyer	律師	領導才能	合法的	檸檬
leadership	領導才能	合法的	檸檬	檸檬水
legal	合法的	檸檬	檸檬水	出借
lemon	檸檬	檸檬水	出借	(距離,尺寸的)長度
lemonade	檸檬水	出借	(距離,尺寸的)長度	豹;美洲豹
