1,典型日本,https://www.youtube.com/watch?v=qzzweIQoIOU&ab_channel=EasyLanguages
2,日本的雨,https://www.youtube.com/watch?v=XneUvKLO06o&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=18&ab_channel=EasyLanguages
3,大眾運輸,https://www.youtube.com/watch?v=1cncN37SLuI&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=17&ab_channel=EasyLanguages
4,武道場,https://www.youtube.com/watch?v=tbnEtIRU1mE&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=16&ab_channel=EasyLanguages
5,學生生活,https://www.youtube.com/watch?v=_p1hJg0D5QE&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=15&ab_channel=EasyLanguages
6,旅遊,https://www.youtube.com/watch?v=tsyML8BzJRg&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=14&ab_channel=EasyLanguages
7,壽司,https://www.youtube.com/watch?v=tsyML8BzJRg&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=14&ab_channel=EasyLanguages
8,長壽的秘訣,https://www.youtube.com/watch?v=zeVWruUbMcg&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=12&ab_channel=EasyLanguages
9,學日文,https://www.youtube.com/watch?v=XcwYDwJ9ZrQ&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=11&ab_channel=EasyLanguages
10,日本的耶誕,https://www.youtube.com/watch?v=7OAuokdCp8s&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=10&ab_channel=EasyLanguages
11,快樂的原因,https://www.youtube.com/watch?v=D8A2q3awnsU&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=9&ab_channel=EasyLanguages
12,愛,https://www.youtube.com/watch?v=VI9d_9nZ6vU&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=8&ab_channel=EasyLanguages
13,新年新希望,https://www.youtube.com/watch?v=7x2NBdoXuLk&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=7&ab_channel=EasyLanguages
14,日本口罩,https://www.youtube.com/watch?v=qW67Hd7RJgQ&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=6&ab_channel=EasyLanguages
15,情人節,https://www.youtube.com/watch?v=qrtsf335r2M&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=5&ab_channel=EasyLanguages
16,日本男人,https://www.youtube.com/watch?v=hfeGbwlJK1Y&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=4&ab_channel=EasyLanguages
17,日本詞1,https://www.youtube.com/watch?v=63epkh7SR98&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=3&ab_channel=EasyLanguages
18,日本詞2,https://www.youtube.com/watch?v=IsdAknr67gk&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=2&ab_channel=EasyLanguages
19,日本俚語,https://www.youtube.com/watch?v=qK--SAlGD0Q&list=PLA5UIoabheFO87Zs0a2W-5ZMzWBjhg_Ap&index=1&ab_channel=EasyLanguages
