가게	店舖	家具	包包	秋天
가구	家具	包包	秋天	客廳
가깝다	近	輕	細	簡單的
가다	去	教	指	帶去
가르치다	教	指	帶去	帶來
가방	包包	秋天	客廳	房子
가볍다	輕	細	簡單的	力量強
가을	秋天	客廳	房子	冬天
거실	客廳	房子	冬天	警察局
건물	房子	冬天	警察局	樓梯
겨울	冬天	警察局	樓梯	公園
경찰서	警察局	樓梯	公園	機場
계단	樓梯	公園	機場	教室
공원	公園	機場	教室	九月
공항	機場	教室	九月	星期五
교실	教室	九月	星期五	黑色
구	九	可看的	購買	洞
구십	九十	幾個	四	四十
구월	九月	星期五	黑色	價格
금요일	星期五	黑色	價格	歌手
까만색	黑色	價格	歌手	胸部
내년	明年	黃色	綠色	國家
내일	明天	大部份	暫時	大綱
네	四	誰	您	什麼
네	是的	誰	您	什麼
넷	四	二	三	二十
노란색	黃色	綠色	國家	剩下的
녹색	綠色	國家	剩下的	樹
다섯	五	五六	萬	四十
도서관	圖書館	動物園	腿	橋
동물원	動物園	腿	橋	熨
두	二	別的	兩三個	僅僅
둘	二	三	二十	三四個
만	萬	前	-天	-月
목요일	星期四	門	對不起	美容室
무슨	哪個	所有	最	別的
문	門	對不起	美容室	院子
미안	對不起	美容室	院子	鎮
미용실	美容室	院子	鎮	心
백	百	內心	香菇	奶油
