백화점	百貨公司	春天	粉紅色	紅色
보다	看	退貨	換成	盼望
봄	春天	粉紅色	紅色	外
분홍색	粉紅色	紅色	外	外面
빨간색	紅色	外	外面	香蕉
사	四	四十	三	三十
사십	四十	三	三十	十
사월	四月	三月	星期三	十月
삼	三	三十	十	九
삼십	三十	十	九	九十
삼월	三月	星期三	十月	餐廳
세	三	二十	新衣	三四個
셋	三	二十	三四個	五
수요일	星期三	十月	餐廳	十二月
쉰	五十	十萬	三十	幾萬元
스무	二十	新衣	三四個	消極的
스물	二十	三四個	五	五六
시월	十月	餐廳	十二月	十一月
식당	餐廳	十二月	十一月	十字路口
십	十	九	九十	五十
십만	十萬	三十	幾萬元	幾百隻
십이월	十二月	十一月	十字路口	四季
십일월	十一月	十字路口	四季	事故
아니다	不是	美	哪裡也	痛
아니요	不是	啊	是	嘿
아침	早晨	夏天	零	電影院
아홉	九	九十	五十	六
아흔	九十	五十	六	六十
안	不	也許	不管再怎麼	很
앉다	坐	來	穿衣	抱
어제	昨天	今天	剛	一點
억	億	八	八十	六
여덟	八	八十	六	十
여든	八十	六	十	六十
여름	夏天	零	電影院	五月
여섯	六	十	六十	五
열	十	鑰匙	火車	十天
영	零	永遠	例如	很少
영화관	電影院	五月	上午	下午
예순	六十	五	七十	五兆二千億
