오	五	我	哎	打擾一下
오늘	今天	剛	一點	昨天
오다	來	穿衣	抱	不行
오십	五十	六	六十	二
오월	五月	上午	下午	今年
오전	上午	下午	今年	郵局
오후	下午	今年	郵局	星期一
올해	今年	郵局	星期一	六月
우체국	郵局	星期一	六月	銀行
월	月	日	年	星期
월요일	星期一	六月	銀行	二月
유월	六月	銀行	二月	星期日
육	六	六十	二	二十
육십	六十	二	二十	一
은행	銀行	二月	星期日	一月
이	二	當天	機會	姓名
이십	二十	一	七	十
이월	二月	星期日	一月	小姐
일	一	日記	日本	部份
일곱	七	十七	七十	八
일요일	星期日	一月	小姐	嬰兒
일월	一月	小姐	嬰兒	播音員
일흔	七十	五兆二千億	千	第四
입다	穿衣	抱	不行	知道
작년	去年	上個月	明年	自我介紹
지난달	上個月	去年	自我介紹	汽車
지난해	去年	自我介紹	汽車	自動販賣機
천	千	第四	第五個	第二
천만	千萬	九	九十	幾個
칠	七	七十	八	八十
칠십	七十	八	八十	一
칠월	七月	車	茶	順序
토요일	星期六	桌球	糖醋肉	泰國
파란색	藍色	八月	便利商店	派對
팔	八	方便	平安	寫信
팔십	八十	一	一兩個	這小孩（그 아이) 的略語
팔월	八月	便利商店	派對	手臂
편의점	便利商店	派對	手臂	方便
하나	一	一兩個	這小孩（그 아이) 的略語	即便如此
한	一位	一個或兩個	舊	間接的
