fishery	漁業	使成薄片;像雪花般覆蓋	(上下或前後)拍動;(鳥)振(翅)	使破裂;使有缺陷
flake	使成薄片;像雪花般覆蓋	(上下或前後)拍動;(鳥)振(翅)	使破裂;使有缺陷	疾飛;掠過
flap	(上下或前後)拍動;(鳥)振(翅)	使破裂;使有缺陷	疾飛;掠過	擲
flaw	使破裂;使有缺陷	疾飛;掠過	擲	茂盛;繁茂;興旺
flick	疾飛;掠過	擲	茂盛;繁茂;興旺	流暢;流暢的說話(或寫作)
flip	擲	茂盛;繁茂;興旺	流暢;流暢的說話(或寫作)	敵人;反對者
flourish	茂盛;繁茂;興旺	流暢;流暢的說話(或寫作)	敵人;反對者	挫敗
fluency	流暢;流暢的說話(或寫作)	敵人;反對者	挫敗	民間傳說
foe	敵人;反對者	挫敗	民間傳說	健忘的
foil	挫敗	民間傳說	健忘的	編排或安排成某種形式
folklore	民間傳說	健忘的	編排或安排成某種形式	惡臭的;污濁的;惡劣的;犯規的
forgetful	健忘的	編排或安排成某種形式	惡臭的;污濁的;惡劣的;犯規的	家禽
format	編排或安排成某種形式	惡臭的;污濁的;惡劣的;犯規的	家禽	小部分;片段;碎片
foul	惡臭的;污濁的;惡劣的;犯規的	家禽	小部分;片段;碎片	架構;組織
fowl	家禽	小部分;片段;碎片	架構;組織	(因喜悅或憤怒等)發狂似的
fraction	小部分;片段;碎片	架構;組織	(因喜悅或憤怒等)發狂似的	裝貨於;運輸(貨物)
framework	架構;組織	(因喜悅或憤怒等)發狂似的	裝貨於;運輸(貨物)	邊境;邊疆;新領域
frantic	(因喜悅或憤怒等)發狂似的	裝貨於;運輸(貨物)	邊境;邊疆;新領域	冒煙;薰;發怒
freight	裝貨於;運輸(貨物)	邊境;邊疆;新領域	冒煙;薰;發怒	狂怒;狂暴;猛烈
frontier	邊境;邊疆;新領域	冒煙;薰;發怒	狂怒;狂暴;猛烈	把保險絲接入(電路);熔接;裝引信
fume 	冒煙;薰;發怒	狂怒;狂暴;猛烈	把保險絲接入(電路);熔接;裝引信	忙亂;小題大作;爭辯
fury	狂怒;狂暴;猛烈	把保險絲接入(電路);熔接;裝引信	忙亂;小題大作;爭辯	(馬等)疾馳;飛跑
fuse	把保險絲接入(電路);熔接;裝引信	忙亂;小題大作;爭辯	(馬等)疾馳;飛跑	服裝;衣著
fuss	忙亂;小題大作;爭辯	(馬等)疾馳;飛跑	服裝;衣著	倒抽一口氣;喘氣
gallop	(馬等)疾馳;飛跑	服裝;衣著	倒抽一口氣;喘氣	集會,聚集
garment	服裝;衣著	倒抽一口氣;喘氣	集會,聚集	同性戀的
gasp	倒抽一口氣;喘氣	集會,聚集	同性戀的	性別
gathering	集會,聚集	同性戀的	性別	地理的
gay	同性戀的	性別	地理的	幾何學
gender	性別	地理的	幾何學	冰河
geographical	地理的	幾何學	冰河	怒目注視;眩目地照射
geometry	幾何學	冰河	怒目注視;眩目地照射	發微光;閃現
glacier	冰河	怒目注視;眩目地照射	發微光;閃現	快樂;歡欣
glare	怒目注視;眩目地照射	發微光;閃現	快樂;歡欣	閃爍;光彩奪目
gleam	發微光;閃現	快樂;歡欣	閃爍;光彩奪目	變陰暗;感到沮喪
glee	快樂;歡欣	閃爍;光彩奪目	變陰暗;感到沮喪	啃
glitter	閃爍;光彩奪目	變陰暗;感到沮喪	啃	狼吞虎嚥;(火雞)咯咯地叫
gloom	變陰暗;感到沮喪	啃	狼吞虎嚥;(火雞)咯咯地叫	峽谷
gnaw	啃	狼吞虎嚥;(火雞)咯咯地叫	峽谷	燦爛的;華麗的;極好的
gobble	狼吞虎嚥;(火雞)咯咯地叫	峽谷	燦爛的;華麗的;極好的	大猩猩
