interference	干涉,干預;擾亂	內的;內部的	解釋;闡明	通譯員
interior	內的;內部的	解釋;闡明	通譯員	直覺
interpretation	解釋;闡明	通譯員	直覺	裡面的,內部的;內心的;向內的
interpreter	通譯員	直覺	裡面的,內部的;內心的;向內的	裡面的,內部的;內心的;向內的
intuition	直覺	裡面的,內部的;內心的;向內的	裡面的,內部的;內心的;向內的	小島
inward	裡面的,內部的;內心的;向內的	裡面的,內部的;內心的;向內的	小島	發行;發佈
inward	裡面的,內部的;內心的;向內的	小島	發行;發佈	常春藤
isle	小島	發行;發佈	常春藤	用千斤頂托起
issue	發行;發佈	常春藤	用千斤頂托起	玉
ivy	常春藤	用千斤頂托起	玉	清潔工;管理員;看門人
jack	用千斤頂托起	玉	清潔工;管理員;看門人	茉莉花
jade	玉	清潔工;管理員;看門人	茉莉花	不守交通規則橫穿馬路
janitor	清潔工;管理員;看門人	茉莉花	不守交通規則橫穿馬路	嘲笑;嘲弄
jasmine	茉莉花	不守交通規則橫穿馬路	嘲笑;嘲弄	發出叮噹聲
jaywalk	不守交通規則橫穿馬路	嘲笑;嘲弄	發出叮噹聲	快活的,高興的
jeer	嘲笑;嘲弄	發出叮噹聲	快活的,高興的	新聞業;新聞學
jingle	發出叮噹聲	快活的,高興的	新聞業;新聞學	新聞工作者
jolly	快活的,高興的	新聞業;新聞學	新聞工作者	(用罐)煮;燉;監禁
journalism	新聞業;新聞學	新聞工作者	(用罐)煮;燉;監禁	陪審團
journalist	新聞工作者	(用罐)煮;燉;監禁	陪審團	證明...是正當的;辯解
jug	(用罐)煮;燉;監禁	陪審團	證明...是正當的;辯解	少年的;孩子氣的;幼年的
jury	陪審團	證明...是正當的;辯解	少年的;孩子氣的;幼年的	有親屬關係的;同類的;類似的
justify	證明...是正當的;辯解	少年的;孩子氣的;幼年的	有親屬關係的;同類的;類似的	點燃;煽動;照亮
juvenile	少年的;孩子氣的;幼年的	有親屬關係的;同類的;類似的	點燃;煽動;照亮	博學的;有見識的
kin	有親屬關係的;同類的;類似的	點燃;煽動;照亮	博學的;有見識的	男孩;小伙子
kindle	點燃;煽動;照亮	博學的;有見識的	男孩;小伙子	跛腳的;站不住腳的
knowledgeable	博學的;有見識的	男孩;小伙子	跛腳的;站不住腳的	女房東
lad	男孩;小伙子	跛腳的;站不住腳的	女房東	房東
lame	跛腳的;站不住腳的	女房東	房東	雷射
landlady 	女房東	房東	雷射	緯度
landlord	房東	雷射	緯度	立法者
laser	雷射	緯度	立法者	把...堆積成層
latitude	緯度	立法者	把...堆積成層	使結盟;使聯合
lawmaker	立法者	把...堆積成層	使結盟;使聯合	立法;法規
layer	把...堆積成層	使結盟;使聯合	立法;法規	變小
league	使結盟;使聯合	立法;法規	變小	免得
legislation	立法;法規	變小	免得	中尉(或少尉);助理官
lessen	變小	免得	中尉(或少尉);助理官	終身的
lest	免得	中尉(或少尉);助理官	終身的	可能;可能性
lieutenant	中尉(或少尉);助理官	終身的	可能;可能性	萊姆
