centigrade	攝氏的	計劃	忍受	廢除;廢止
plan/zip code	計劃	忍受	廢除;廢止	墮胎
abide	忍受	廢除;廢止	墮胎	突然的;意外的
abolish	廢除;廢止	墮胎	突然的;意外的	荒謬的
abortion	墮胎	突然的;意外的	荒謬的	大量的;充足的; 豐富的
abrupt	突然的;意外的	荒謬的	大量的;充足的; 豐富的	學院;大學;研究院
absurd	荒謬的	大量的;充足的; 豐富的	學院;大學;研究院	使習慣於
abundant	大量的;充足的; 豐富的	學院;大學;研究院	使習慣於	第一流的;突出的
academy	學院;大學;研究院	使習慣於	第一流的;突出的	承認
accustom	使習慣於	第一流的;突出的	承認	粉刺
ace	第一流的;突出的	承認	粉刺	艦隊司令; 海軍上將
acknowledge	承認	粉刺	艦隊司令; 海軍上將	青春期
acne	粉刺	艦隊司令; 海軍上將	青春期	青少年的;未成熟的
admiral	艦隊司令; 海軍上將	青春期	青少年的;未成熟的	崇拜;愛慕
adolescence	青春期	青少年的;未成熟的	崇拜;愛慕	成年(期)
adolescent	青少年的;未成熟的	崇拜;愛慕	成年(期)	刊登廣告者;廣告客戶
adore	崇拜;愛慕	成年(期)	刊登廣告者;廣告客戶	愛慕;鍾愛
adulthood	成年(期)	刊登廣告者;廣告客戶	愛慕;鍾愛	議程
advertiser	刊登廣告者;廣告客戶	愛慕;鍾愛	議程	極度痛苦
affection	愛慕;鍾愛	議程	極度痛苦	農業的
agenda	議程	極度痛苦	農業的	人工智慧
agony	極度痛苦	農業的	人工智慧	密閉的;無懈可擊的
agricultural	農業的	人工智慧	密閉的;無懈可擊的	風道;氣道;航空公司
AI/artificial intelligence	人工智慧	密閉的;無懈可擊的	風道;氣道;航空公司	通道;走道
airtight	密閉的;無懈可擊的	風道;氣道;航空公司	通道;走道	代數
airway	風道;氣道;航空公司	通道;走道	代數	外星人
aisle	通道;走道	代數	外星人	過敏的
algebra	代數	外星人	過敏的	過敏症
alien	外星人	過敏的	過敏症	鱷魚
allergic	過敏的	過敏症	鱷魚	使結盟;使聯姻  聯盟
allergy	過敏症	鱷魚	使結盟;使聯姻  聯盟	改變;修改
alligator	鱷魚	使結盟;使聯姻  聯盟	改變;修改	輪流的
ally	使結盟;使聯姻  聯盟	改變;修改	輪流的	高度;海拔
alter	改變;修改	輪流的	高度;海拔	大量的;充裕的
alternate	輪流的	高度;海拔	大量的;充裕的	拋錨;繫住
altitude	高度;海拔	大量的;充裕的	拋錨;繫住	頌歌
ample	大量的;充裕的	拋錨;繫住	頌歌	年代久遠的;古董的
anchor	拋錨;繫住	頌歌	年代久遠的;古董的	向...鼓掌;稱讚
anthem	頌歌	年代久遠的;古董的	向...鼓掌;稱讚	鼓掌歡迎,喝采
antique	年代久遠的;古董的	向...鼓掌;稱讚	鼓掌歡迎,喝采	易於...的
applaud	向...鼓掌;稱讚	鼓掌歡迎,喝采	易於...的	建築師
applause	鼓掌歡迎,喝采	易於...的	建築師	建築學
apt	易於...的	建築師	建築學	體育場;競技場
architect	建築師	建築學	體育場;競技場	穿盔甲(或加裝甲);提供防禦
architecture	建築學	體育場;競技場	穿盔甲(或加裝甲);提供防禦	登高;上升;
arena	體育場;競技場	穿盔甲(或加裝甲);提供防禦	登高;上升;	驢子;笨蛋;太自負的人
armor	穿盔甲(或加裝甲);提供防禦	登高;上升;	驢子;笨蛋;太自負的人	攻擊;抨擊;施暴
ascend	登高;上升;	驢子;笨蛋;太自負的人	攻擊;抨擊;施暴	財產,資產
ass	驢子;笨蛋;太自負的人	攻擊;抨擊;施暴	財產,資產	使吃驚,使驚訝
assault	攻擊;抨擊;施暴	財產,資產	使吃驚,使驚訝	迷路的;離開正道的
asset	財產,資產	使吃驚,使驚訝	迷路的;離開正道的	太空人,宇航員
astonish	使吃驚,使驚訝	迷路的;離開正道的	太空人,宇航員	天文學家
astray	迷路的;離開正道的	太空人,宇航員	天文學家	天文學
astronaut	太空人,宇航員	天文學家	天文學	出席
astronomer	天文學家	天文學	出席	會堂;禮堂
astronomy	天文學	出席	會堂;禮堂	輔助者;助動詞
attendance	出席	會堂;禮堂	輔助者;助動詞	使敬畏;使畏怯
auditorium	會堂;禮堂	輔助者;助動詞	使敬畏;使畏怯	片刻
auxiliary	輔助者;助動詞	使敬畏;使畏怯	片刻	單身漢
awe	使敬畏;使畏怯	片刻	單身漢	脊柱;支柱;骨幹
awhile	片刻	單身漢	脊柱;支柱;骨幹	徽章;證章
bachelor	單身漢	脊柱;支柱;骨幹	徽章;證章	投票;投票表決
backbone	脊柱;支柱;骨幹	徽章;證章	投票;投票表決	禁止;取締
badge	徽章;證章	投票;投票表決	禁止;取締	強盜;土匪
ballot	投票;投票表決	禁止;取締	強盜;土匪	旗幟;橫幅;大標題
ban	禁止;取締	強盜;土匪	旗幟;橫幅;大標題	宴請
bandit	強盜;土匪	旗幟;橫幅;大標題	宴請	野蠻人
banner	旗幟;橫幅;大標題	宴請	野蠻人	理髮店
banquet	宴請	野蠻人	理髮店	赤腳的
barbarian	野蠻人	理髮店	赤腳的	貧瘠的;荒蕪的;不妊的
barbershop	理髮店	赤腳的	貧瘠的;荒蕪的;不妊的	低沈的;男低音的
barefoot	赤腳的	貧瘠的;荒蕪的;不妊的	低沈的;男低音的	一批;一群;一爐;一團
barren	貧瘠的;荒蕪的;不妊的	低沈的;男低音的	一批;一群;一爐;一團	打擊手
bass	低沈的;男低音的	一批;一群;一爐;一團	打擊手	(中東的)市場;商店街;義賣
batch	一批;一群;一爐;一團	打擊手	(中東的)市場;商店街;義賣	美化
batter	打擊手	(中東的)市場;商店街;義賣	美化	事先
bazaar	(中東的)市場;商店街;義賣	美化	事先	代表
beautify	美化	事先	代表	財產;攜帶物品
beforehand	事先	代表	財產;攜帶物品	心愛的
behalf	代表	財產;攜帶物品	心愛的	有益的;有利的
belongings	財產;攜帶物品	心愛的	有益的;有利的	當心;提防
beloved	心愛的	有益的;有利的	當心;提防	吩咐;(拍賣中)喊價
beneficial	有益的;有利的	當心;提防	吩咐;(拍賣中)喊價	鐵匠
beware	當心;提防	吩咐;(拍賣中)喊價	鐵匠	炸開;吹奏;嚴厲批評
bid	吩咐;(拍賣中)喊價	鐵匠	炸開;吹奏;嚴厲批評	燃燒
blacksmith	鐵匠	炸開;吹奏;嚴厲批評	燃燒	漂白劑
blast	炸開;吹奏;嚴厲批評	燃燒	漂白劑	大風雪
blaze	燃燒	漂白劑	大風雪	白膚金髮碧眼的男人
bleach	漂白劑	大風雪	白膚金髮碧眼的男人	污損(名譽)
blizzard	大風雪	白膚金髮碧眼的男人	污損(名譽)	藍調
blond/blonde	白膚金髮碧眼的男人	污損(名譽)	藍調	使模糊不清
blot/stain	污損(名譽)	藍調	使模糊不清	肉體的
blues	藍調	使模糊不清	肉體的	保鏢;護衛隊
blur	使模糊不清	肉體的	保鏢;護衛隊	動彈不得
bodily	肉體的	保鏢;護衛隊	動彈不得	閂上
bodyguard	保鏢;護衛隊	動彈不得	閂上	獎金;額外津貼;分紅
bog	動彈不得	閂上	獎金;額外津貼;分紅	發出隆隆聲;激增;暴漲;興旺
bolt	閂上	獎金;額外津貼;分紅	發出隆隆聲;激增;暴漲;興旺	(有篷的)貨攤;崗亭;(餐廳等)雅座
bonus	獎金;額外津貼;分紅	發出隆隆聲;激增;暴漲;興旺	(有篷的)貨攤;崗亭;(餐廳等)雅座	無聊;厭倦
