outdo	勝過;超越	外向的	生產;使出;輸出	外人;門外漢;局外人
outgoing	外向的	生產;使出;輸出	外人;門外漢;局外人	郊區
output	生產;使出;輸出	外人;門外漢;局外人	郊區	向外的;往外去的
outsider	外人;門外漢;局外人	郊區	向外的;往外去的	向外的;往外去的
outskirts	郊區	向外的;往外去的	向外的;往外去的	總的,全部的,全面的
outward	向外的;往外去的	向外的;往外去的	總的,全部的,全面的	把...做得過分;使過於疲勞
outward	向外的;往外去的	總的,全部的,全面的	把...做得過分;使過於疲勞	吃得過飽
overall	總的,全部的,全面的	把...做得過分;使過於疲勞	吃得過飽	滿(或多)得溢出
overdo	把...做得過分;使過於疲勞	吃得過飽	滿(或多)得溢出	無意中聽到;偷聽
overeat	吃得過飽	滿(或多)得溢出	無意中聽到;偷聽	睡過頭
overflow	滿(或多)得溢出	無意中聽到;偷聽	睡過頭	壓倒;征服;使受不了
overhear	無意中聽到;偷聽	睡過頭	壓倒;征服;使受不了	使工作過度;使過勞;過度使用
oversleep	睡過頭	壓倒;征服;使受不了	使工作過度;使過勞;過度使用	牡蠣
overwhelm	壓倒;征服;使受不了	使工作過度;使過勞;過度使用	牡蠣	臭氧
overwork	使工作過度;使過勞;過度使用	牡蠣	臭氧	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的
oyster	牡蠣	臭氧	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的	小包(裹);小捆;小袋
ozone	臭氧	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的	小包(裹);小捆;小袋	用槳划(船)
pacific	(大寫) 太平洋的; 愛好和平的; 溫和的;平靜的	小包(裹);小捆;小袋	用槳划(船)	窗玻璃片
packet	小包(裹);小捆;小袋	用槳划(船)	窗玻璃片	自相矛盾的議論
paddle	用槳划(船)	窗玻璃片	自相矛盾的議論	平行的
pane	窗玻璃片	自相矛盾的議論	平行的	接待室
paradox	自相矛盾的議論	平行的	接待室	關係者;參與者
parallel	平行的	接待室	關係者;參與者	微粒;顆粒
parlor	接待室	關係者;參與者	微粒;顆粒	部分地
participant	關係者;參與者	微粒;顆粒	部分地	熱情的;激昂的
particle	微粒;顆粒	部分地	熱情的;激昂的	消遣;娛樂
partly	部分地	熱情的;激昂的	消遣;娛樂	酥皮點心
passionate	熱情的;激昂的	消遣;娛樂	酥皮點心	補綴;修補;拼湊
pastime	消遣;娛樂	酥皮點心	補綴;修補;拼湊	專利的
pastry	酥皮點心	補綴;修補;拼湊	專利的	愛國者
patch	補綴;修補;拼湊	專利的	愛國者	巡邏
patent	專利的	愛國者	巡邏	贊助者;主顧(尤指老顧客)
patriot	愛國者	巡邏	贊助者;主顧(尤指老顧客)	孔雀
patrol	巡邏	贊助者;主顧(尤指老顧客)	孔雀	農夫
patron	贊助者;主顧(尤指老顧客)	孔雀	農夫	輕吻
peacock	孔雀	農夫	輕吻	小販
peasant	農夫	輕吻	小販	偷看;窺視
peck	輕吻	小販	偷看;窺視	用木釘釘
peddler	小販	偷看;窺視	用木釘釘	穿過;透過;識破;滲透入
peek	偷看;窺視	用木釘釘	穿過;透過;識破;滲透入	察覺;感知;意識到
